# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1       1     0.26729     0.46297     0.00000  -71.068466008  -77.003068232   -5.934602223
     1       1     0.26044     0.45110     0.00000  -71.068717634  -76.992556582   -5.923838948
     1       1     0.25359     0.43923     0.00000  -71.068992492  -76.981264354   -5.912271862
     1       1     0.24673     0.42735     0.00000  -71.069290095  -76.969838217   -5.900548122
     1       1     0.23988     0.41548     0.00000  -71.069609799  -76.959062853   -5.889453053
     1       1     0.23303     0.40361     0.00000  -71.069950802  -76.949778786   -5.879827984
     1       1     0.22617     0.39174     0.00000  -71.070312137  -76.942742419   -5.872430282
     1       1     0.21932     0.37987     0.00000  -71.070692694  -76.938425852   -5.867733157
     1       1     0.21246     0.36800     0.00000  -71.071091216  -76.936811283   -5.865720067
     1       1     0.20561     0.35613     0.00000  -71.071506300  -76.937311769   -5.865805469
     1       1     0.19876     0.34426     0.00000  -71.071936416  -76.938954130   -5.867017714
     1       1     0.19190     0.33239     0.00000  -71.072379908  -76.940801180   -5.868421271
     1       1     0.18505     0.32052     0.00000  -71.072835007  -76.942337134   -5.869502127
     1       1     0.17820     0.30865     0.00000  -71.073299834  -76.943452204   -5.870152370
     1       1     0.17134     0.29677     0.00000  -71.073772423  -76.944144466   -5.870372042
     1       1     0.16449     0.28490     0.00000  -71.074250722  -76.944412343   -5.870161621
     1       1     0.15764     0.27303     0.00000  -71.074732610  -76.944250205   -5.869517596
     1       1     0.15078     0.26116     0.00000  -71.075215909  -76.943387312   -5.868171403
     1       1     0.14393     0.24929     0.00000  -71.075698398  -76.940259579   -5.864561181
     1       1     0.13707     0.23742     0.00000  -71.076177820  -76.932464792   -5.856286972
     1       1     0.13022     0.22555     0.00000  -71.076651912  -76.918742946   -5.842091034
     1       1     0.12337     0.21368     0.00000  -71.077118398  -76.899847239   -5.822728841
     1       1     0.11651     0.20181     0.00000  -71.077575023  -76.878039488   -5.800464465
     1       1     0.10966     0.18994     0.00000  -71.078019547  -76.856019440   -5.777999893
     1       1     0.10281     0.17806     0.00000  -71.078449778  -76.836039657   -5.757589879
     1       1     0.09595     0.16619     0.00000  -71.078863574  -76.819514092   -5.740650518
     1       1     0.08910     0.15432     0.00000  -71.079258860  -76.807029914   -5.727771054
     1       1     0.08224     0.14245     0.00000  -71.079633644  -76.798544773   -5.718911130
     1       1     0.07539     0.13058     0.00000  -71.079986019  -76.793611046   -5.713625028
     1       1     0.06854     0.11871     0.00000  -71.080314186  -76.791561074   -5.711246888
     1       1     0.06168     0.10684     0.00000  -71.080616467  -76.791643716   -5.711027249
     1       1     0.05483     0.09497     0.00000  -71.080891303  -76.793122263   -5.712230960
     1       1     0.04798     0.08310     0.00000  -71.081137274  -76.795344540   -5.714207266
     1       1     0.04112     0.07123     0.00000  -71.081353103  -76.797790988   -5.716437885
     1       1     0.03427     0.05935     0.00000  -71.081537671  -76.800100790   -5.718563119
     1       1     0.02741     0.04748     0.00000  -71.081690014  -76.802070470   -5.720380456
     1       1     0.02056     0.03561     0.00000  -71.081809337  -76.803618498   -5.721809161
     1       1     0.01371     0.02374     0.00000  -71.081895018  -76.804726142   -5.722831124
     1       1     0.00685     0.01187     0.00000  -71.081946606  -76.805391107   -5.723444500
     1       1     0.00000     0.00000     0.00000  -71.081963832  -76.805612822   -5.723648990
     1       2     0.00000     0.00000     0.00000  -57.163095041  -59.739239119   -2.576144078
     1       2     0.00000     0.01484     0.00000  -57.163049394  -59.739186004   -2.576136610
     1       2     0.00000     0.02968     0.00000  -57.162912870  -59.739026812   -2.576113941
     1       2     0.00000     0.04452     0.00000  -57.162686107  -59.738738850   -2.576052743
     1       2     0.00000     0.05935     0.00000  -57.162370779  -59.738162441   -2.575791661
     1       2     0.00000     0.07419     0.00000  -57.161968448  -59.737005882   -2.575037434
     1       2     0.00000     0.08903     0.00000  -57.161481924  -59.735046693   -2.573564768
     1       2     0.00000     0.10387     0.00000  -57.160914012  -59.732233531   -2.571319519
     1       2     0.00000     0.11871     0.00000  -57.160268230  -59.728657562   -2.568389332
     1       2     0.00000     0.13355     0.00000  -57.159548492  -59.724478792   -2.564930300
     1       2     0.00000     0.14839     0.00000  -57.158759166  -59.719865192   -2.561106027
     1       2     0.00000     0.16323     0.00000  -57.157905068  -59.714960040   -2.557054972
     1       2     0.00000     0.17806     0.00000  -57.156991461  -59.709872813   -2.552881351
     1       2     0.00000     0.19290     0.00000  -57.156024017  -59.704683918   -2.548659901
     1       2     0.00000     0.20774     0.00000  -57.155008601  -59.699455528   -2.544446927
     1       2     0.00000     0.22258     0.00000  -57.153951479  -59.694244898   -2.540293419
     1       2     0.00000     0.23742     0.00000  -57.152859164  -59.689117446   -2.536258283
     1       2     0.00000     0.25226     0.00000  -57.151738264  -59.684158606   -2.532420342
     1       2     0.00000     0.26710     0.00000  -57.150595750  -59.679482476   -2.528886725
     1       2     0.00000     0.28194     0.00000  -57.149438678  -59.675231465   -2.525792787
     1       2     0.00000     0.29677     0.00000  -57.148274113  -59.671559965   -2.523285852
     1       2     0.00000     0.31161     0.00000  -57.147109276  -59.668594298   -2.521485022
     1       2     0.00000     0.32645     0.00000  -57.145951358  -59.666369753   -2.520418395
     1       2     0.00000     0.34129     0.00000  -57.144807430  -59.664771749   -2.519964319
     1       2     0.00000     0.35613     0.00000  -57.143684614  -59.663547041   -2.519862427
     1       2     0.00000     0.37097     0.00000  -57.142589819  -59.662449734   -2.519859915
     1       2     0.00000     0.38581     0.00000  -57.141529827  -59.661392233   -2.519862405
