# neig  =     9216
# vol   =  0.352109765E+07
# nspin, nspinor =        1       1
#       eig (eV)   abs(dipole)^2      Re(dipole)    Im(dipole)
  0.17180166E+01  0.14452475E-01 -0.71100019E-02  0.12000801E+00
  0.17208784E+01  0.78225878E+00 -0.82073953E+00 -0.32961402E+00
  0.19538715E+01  0.15768712E+03 -0.62859378E+01 -0.10870792E+02
  0.19562866E+01  0.12936880E+03 -0.10569557E+02 -0.42015781E+01
  0.19696671E+01  0.20123993E+01  0.81162876E+00  0.11634681E+01
  0.19700488E+01  0.25521734E+01  0.15146433E+01 -0.50796556E+00
  0.20156633E+01  0.53026790E+03  0.17975290E+02  0.14392945E+02
  0.20261402E+01  0.56575654E+03  0.17362127E+01  0.23722186E+02
  0.20430117E+01  0.59660369E+03 -0.14424466E+01 -0.24382843E+02
  0.20480241E+01  0.54410297E+03 -0.22290017E+02 -0.68744521E+01
  0.20751685E+01  0.40037858E+02 -0.51268626E+01  0.37085223E+01
  0.20774497E+01  0.22126586E+02  0.46531591E+01 -0.68898183E+00
  0.21155946E+01  0.53155094E+01 -0.20094995E+01  0.11302307E+01
  0.21159144E+01  0.39573442E+00  0.62744270E+00  0.45277777E-01
  0.21160018E+01  0.20707864E+00  0.28440759E+00 -0.35523367E+00
  0.21181878E+01  0.12322566E+02  0.35102377E+01  0.28239829E-01
  0.21494196E+01  0.25958030E+01  0.77003842E+00  0.14152187E+01
  0.21506727E+01  0.17513433E+01 -0.12526061E+01  0.42699103E+00
  0.21533029E+01  0.13811939E+01 -0.39328700E+00 -0.11074833E+01
  0.21550477E+01  0.12256376E+01 -0.39062183E+00 -0.10358823E+01
  0.21558721E+01  0.33845279E+01 -0.18181448E+01  0.28085140E+00
  0.21573177E+01  0.26210882E+01  0.47431609E+00  0.15479381E+01
  0.21730164E+01  0.32517459E-01 -0.22518135E-02  0.18031192E+00
  0.21730561E+01  0.61860604E+00 -0.57253511E+00  0.53926764E+00
  0.21905605E+01  0.27862910E+00  0.11489259E+00 -0.51519782E+00
  0.21916983E+01  0.18554415E+00  0.40412553E+00  0.14908624E+00
  0.21919247E+01  0.13431607E+01  0.62655520E+00  0.97498169E+00
  0.21925025E+01  0.75786277E-01 -0.96806871E-01 -0.25771051E+00
  0.22078419E+01  0.32998326E+02 -0.20590716E+01  0.53627000E+01
  0.22094173E+01  0.65110475E+02  0.35054141E+01 -0.72679121E+01
  0.22122183E+01  0.35108906E+02 -0.55311158E+01 -0.21250093E+01
  0.22139201E+01  0.64120550E+00  0.56141053E+00  0.57098487E+00
  0.22142932E+01  0.43664661E+00 -0.42569176E-01  0.65941980E+00
  0.22340874E+01  0.50687717E+03  0.18029691E+02  0.13483598E+02
  0.22358377E+01  0.11438671E+04 -0.20510419E+01 -0.33758855E+02
  0.22433783E+01  0.67778856E+00 -0.61483525E+00  0.54750906E+00
  0.22445567E+01  0.26788817E+01 -0.29144926E+00  0.16105710E+01
  0.22469991E+01  0.27020708E+02  0.25905992E+01  0.45066067E+01
  0.22538658E+01  0.10281864E+00 -0.31702155E+00  0.48124555E-01
  0.22586190E+01  0.79818392E-01 -0.27457866E+00 -0.66520293E-01
  0.22588637E+01  0.13920190E+00 -0.19689414E+00 -0.31691418E+00
  0.22604403E+01  0.29334046E+00 -0.53957298E+00 -0.46919784E-01
  0.22630241E+01  0.42610257E+00 -0.40904533E-01 -0.65148246E+00
  0.22645598E+01  0.64596420E-01  0.17151390E+00  0.18756173E+00
  0.22676205E+01  0.43743384E-01  0.65185603E-01 -0.19873153E+00
  0.22696071E+01  0.67049770E+00  0.82326151E-01  0.81469019E+00
  0.22704657E+01  0.11452222E+01 -0.70878600E+00 -0.80177589E+00
  0.22727164E+01  0.10890377E+01  0.65999292E+00  0.80836072E+00
  0.22840134E+01  0.33030657E+01  0.88564744E+00  0.15870395E+01
