# k =   0.000000   0.000000   0.000000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -1.08829896E+01  -1.10881441E+01  -2.05154432E-01
# Error est. for CH(vbm) CH(cbm) diff =   3.17744257E-01   3.19011315E-01   1.26705830E-03
# 1/N extrap for CH`(vbm) CH`(cbm) diff =  -1.05346217E+01  -1.04487122E+01   8.59095324E-02
# Error est. for CH`(vbm) CH`(cbm) diff =   1.16340805E+00   9.98219427E-01  -1.65188624E-01
#    Nb          CH(vbm)          CH(cbm)             diff         CH`(vbm)         CH`(cbm)            diff`
     46  -1.01242908E+01  -1.02606967E+01  -1.36405917E-01  -8.12805106E+00  -8.11056536E+00   1.74856939E-02
     47  -1.01382291E+01  -1.02667048E+01  -1.28475641E-01  -8.16072043E+00  -8.12371379E+00   3.70066417E-02
     48  -1.01595523E+01  -1.02797914E+01  -1.20239033E-01  -8.21138188E+00  -8.15285011E+00   5.85317748E-02
     49  -1.01734023E+01  -1.02872211E+01  -1.13818805E-01  -8.24508863E+00  -8.16963640E+00   7.54522293E-02
     50  -1.01831722E+01  -1.02968883E+01  -1.13716112E-01  -8.26957865E+00  -8.19126516E+00   7.83134957E-02
     51  -1.02100169E+01  -1.03099213E+01  -9.99044507E-02  -8.33808374E+00  -8.22128240E+00   1.16801346E-01
     52  -1.02280812E+01  -1.03164239E+01  -8.83427072E-02  -8.38490094E+00  -8.23616110E+00   1.48739837E-01
     53  -1.02441044E+01  -1.03249391E+01  -8.08347060E-02  -8.42596399E+00  -8.25561144E+00   1.70352550E-01
     54  -1.02727686E+01  -1.03355176E+01  -6.27490200E-02  -8.50093152E+00  -8.28068068E+00   2.20250833E-01
     55  -1.02886258E+01  -1.03717282E+01  -8.31024120E-02  -8.54188709E+00  -8.37080671E+00   1.71080379E-01
     56  -1.03025073E+01  -1.04120166E+01  -1.09509323E-01  -8.57677844E+00  -8.47134629E+00   1.05432146E-01
     57  -1.03169387E+01  -1.04240918E+01  -1.07153049E-01  -8.61496993E+00  -8.50011603E+00   1.14853900E-01
     58  -1.03243600E+01  -1.04480811E+01  -1.23721129E-01  -8.63281229E+00  -8.55943700E+00   7.33752920E-02
     59  -1.03494466E+01  -1.04656530E+01  -1.16206368E-01  -8.69962212E+00  -8.60261634E+00   9.70057767E-02
     60  -1.03632539E+01  -1.04816738E+01  -1.18419931E-01  -8.73750605E+00  -8.64207958E+00   9.54264646E-02
     61  -1.03718021E+01  -1.04934594E+01  -1.21657346E-01  -8.76089761E+00  -8.67097618E+00   8.99214331E-02
     62  -1.03753880E+01  -1.05068910E+01  -1.31503022E-01  -8.76982997E+00  -8.70582184E+00   6.40081367E-02
     63  -1.03878729E+01  -1.05155647E+01  -1.27691743E-01  -8.80554958E+00  -8.72783214E+00   7.77174325E-02
     64  -1.03992369E+01  -1.05234617E+01  -1.24224880E-01  -8.83836058E+00  -8.74859783E+00   8.97627505E-02
     65  -1.04029008E+01  -1.05522816E+01  -1.49380807E-01  -8.84748740E+00  -8.82909589E+00   1.83915122E-02
     66  -1.04071480E+01  -1.05579054E+01  -1.50757355E-01  -8.85971154E+00  -8.84410907E+00   1.56024738E-02
     67  -1.04166850E+01  -1.05664238E+01  -1.49738760E-01  -8.88766468E+00  -8.86697362E+00   2.06910565E-02
     68  -1.04240390E+01  -1.05978760E+01  -1.73836978E-01  -8.90983212E+00  -8.95138386E+00  -4.15517373E-02
     69  -1.04357402E+01  -1.06058374E+01  -1.70097177E-01  -8.94866916E+00  -8.97253685E+00  -2.38676926E-02
     70  -1.04442885E+01  -1.06178106E+01  -1.73522136E-01  -8.97344860E+00  -9.00727145E+00  -3.38228524E-02
     71  -1.04527652E+01  -1.06359669E+01  -1.83201656E-01  -8.99844192E+00  -9.06087011E+00  -6.24281958E-02
     72  -1.04555670E+01  -1.06457565E+01  -1.90189495E-01  -9.00581937E+00  -9.08814610E+00  -8.23267362E-02
     73  -1.04605781E+01  -1.06520032E+01  -1.91425163E-01  -9.02064464E+00  -9.10588204E+00  -8.52374041E-02
