# k =   0.000000   0.000000   0.000000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -1.08829896E+01  -1.10881441E+01  -2.05154432E-01
# Error est. for CH(vbm) CH(cbm) diff =   3.17744257E-01   3.19011315E-01   1.26705830E-03
# 1/N extrap for CH`(vbm) CH`(cbm) diff =  -1.05346217E+01  -1.04487122E+01   8.59095324E-02
# Error est. for CH`(vbm) CH`(cbm) diff =   1.16340805E+00   9.98219427E-01  -1.65188624E-01
#    Nb          CH(vbm)          CH(cbm)             diff         CH`(vbm)         CH`(cbm)            diff`
     83  -1.06992326E+01  -1.11260942E+01  -4.26861681E-01  -9.54702713E+00  -9.74896488E+00  -2.01937746E-01
     84  -1.07036437E+01  -1.11301170E+01  -4.26473340E-01  -9.56262628E+00  -9.76240324E+00  -1.99776957E-01
     85  -1.07100044E+01  -1.11342684E+01  -4.24264019E-01  -9.58593277E+00  -9.77630147E+00  -1.90368707E-01
     86  -1.07135860E+01  -1.11371602E+01  -4.23574225E-01  -9.59803495E+00  -9.78530429E+00  -1.87269342E-01
     87  -1.07157772E+01  -1.11402812E+01  -4.24503929E-01  -9.60543970E+00  -9.79549820E+00  -1.90058500E-01
     88  -1.07189185E+01  -1.11423422E+01  -4.23423772E-01  -9.61642533E+00  -9.80238374E+00  -1.85958404E-01
     89  -1.07207734E+01  -1.11451009E+01  -4.24327467E-01  -9.62263754E+00  -9.81160100E+00  -1.88963462E-01
     90  -1.07222841E+01  -1.11463290E+01  -4.24044867E-01  -9.62795138E+00  -9.81586225E+00  -1.87910875E-01
     91  -1.07241432E+01  -1.11501574E+01  -4.26014156E-01  -9.63468010E+00  -9.82874377E+00  -1.94063669E-01
     92  -1.07254779E+01  -1.11531120E+01  -4.27634048E-01  -9.63917713E+00  -9.83927876E+00  -2.00101628E-01
     93  -1.07281636E+01  -1.11576045E+01  -4.29440962E-01  -9.64792285E+00  -9.85496893E+00  -2.07046080E-01
     94  -1.07300976E+01  -1.11600826E+01  -4.29984987E-01  -9.65499353E+00  -9.86360221E+00  -2.08608681E-01
     95  -1.07314638E+01  -1.11619171E+01  -4.30453328E-01  -9.65994709E+00  -9.87023122E+00  -2.10284127E-01
     96  -1.07325182E+01  -1.11655975E+01  -4.33079348E-01  -9.66356483E+00  -9.88288233E+00  -2.19317500E-01
     97  -1.07360320E+01  -1.11689157E+01  -4.32883676E-01  -9.67784096E+00  -9.89566343E+00  -2.17822472E-01
     98  -1.07377840E+01  -1.11719768E+01  -4.34192770E-01  -9.68398399E+00  -9.90669808E+00  -2.22714090E-01
     99  -1.07387127E+01  -1.11753241E+01  -4.36611386E-01  -9.68717992E+00  -9.91915022E+00  -2.31970298E-01
# k =  -0.000000   0.666667   0.000000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -1.09026365E+01  -1.14659022E+01  -5.63265788E-01
# Error est. for CH(vbm) CH(cbm) diff =   1.64288409E-01   2.89954637E-01   1.25666229E-01
# 1/N extrap for CH`(vbm) CH`(cbm) diff =  -1.02791061E+01  -1.09526436E+01  -6.73537579E-01
# Error est. for CH`(vbm) CH`(cbm) diff =   5.92294557E-01   1.03288835E+00   4.40593789E-01
#    Nb          CH(vbm)          CH(cbm)             diff         CH`(vbm)         CH`(cbm)            diff`
      1  -5.58589202E+00  -5.71634592E+00  -1.30453898E-01  -2.35178703E-05  -1.01577070E-02  -1.01341891E-02
      2  -5.65203803E+00  -5.78735892E+00  -1.35320889E-01  -9.15157394E-02  -1.19622548E-01  -2.81068081E-02
      3  -5.69304294E+00  -5.78793155E+00  -9.48886064E-02  -1.48537452E-01  -1.22861926E-01   2.56755257E-02
      4  -5.68750937E+00  -5.78734175E+00  -9.98323777E-02  -1.59939202E-01  -1.24728651E-01   3.52105504E-02
      5  -5.67714115E+00  -5.78235011E+00  -1.05208959E-01  -1.67733560E-01  -1.22184330E-01   4.55492305E-02
      6  -5.66085364E+00  -5.78326398E+00  -1.22410342E-01  -1.70145788E-01  -1.25225637E-01   4.49201508E-02
      7  -5.66739807E+00  -5.78779377E+00  -1.20395696E-01  -1.84890334E-01  -1.31977751E-01   5.29125821E-02
      8  -5.66032777E+00  -5.79088443E+00  -1.30556659E-01  -1.88469144E-01  -1.37041824E-01   5.14273201E-02
      9  -5.66056065E+00  -5.79238022E+00  -1.31819570E-01  -1.97111672E-01  -1.40472909E-01   5.66387634E-02
     10  -5.65535809E+00  -5.79477004E+00  -1.39411944E-01  -2.02373237E-01  -1.44543310E-01   5.78299268E-02
     11  -5.66845563E+00  -5.79689682E+00  -1.28441190E-01  -2.20982375E-01  -1.48249064E-01   7.27333114E-02
     12  -5.67569629E+00  -5.80043794E+00  -1.24741644E-01  -2.33669652E-01  -1.53160553E-01   8.05090988E-02
     13  -5.67600369E+00  -5.90342523E+00  -2.27421543E-01  -2.34022166E-01  -2.81765793E-01  -4.77436264E-02
     14  -5.67619958E+00  -5.99681131E+00  -3.20611726E-01  -2.34247334E-01  -4.08062260E-01  -1.73814926E-01
     15  -5.67639555E+00  -6.07482106E+00  -3.98425511E-01  -2.34495330E-01  -5.10526860E-01  -2.76031530E-01
     16  -5.69082746E+00  -6.52457116E+00  -8.33743694E-01  -2.51730101E-01  -1.04029476E+00  -7.88564657E-01
     17  -6.04927229E+00  -6.78421800E+00  -7.34945707E-01  -6.72937025E-01  -1.36273128E+00  -6.89794258E-01
     18  -6.62157068E+00  -7.14723041E+00  -5.25659737E-01  -1.31932124E+00  -1.77736266E+00  -4.58041420E-01
     19  -6.62236304E+00  -7.17594992E+00  -5.53586882E-01  -1.32054925E+00  -1.82095669E+00  -5.00407440E-01
     20  -6.74404412E+00  -7.21659547E+00  -4.72551352E-01  -1.51048201E+00  -1.88214873E+00  -3.71666714E-01
     21  -6.87951277E+00  -7.25717841E+00  -3.77665637E-01  -1.72244746E+00  -1.94366160E+00  -2.21214142E-01
     22  -7.08511132E+00  -7.30209450E+00  -2.16983178E-01  -2.04924045E+00  -2.01177121E+00   3.74692348E-02
     23  -7.08588418E+00  -7.35050752E+00  -2.64623346E-01  -2.05060995E+00  -2.09387354E+00  -4.32635875E-02
     24  -7.18167887E+00  -7.43478111E+00  -2.53102239E-01  -2.22176545E+00  -2.23807362E+00  -1.63081701E-02
     25  -7.23664685E+00  -7.48165824E+00  -2.45011386E-01  -2.32080423E+00  -2.31877584E+00   2.02838117E-03
     26  -7.35139199E+00  -7.55258944E+00  -2.01197448E-01  -2.52708383E+00  -2.44146528E+00   8.56185439E-02
     27  -7.51241179E+00  -7.65635712E+00  -1.43945336E-01  -2.82160976E+00  -2.62135933E+00   2.00250429E-01
     28  -7.57464593E+00  -7.72981970E+00  -1.55173772E-01  -2.93756796E+00  -2.75135965E+00   1.86208310E-01
     29  -7.62595735E+00  -7.75566943E+00  -1.29712088E-01  -3.03168824E+00  -2.79741912E+00   2.34269122E-01
     30  -7.74004089E+00  -7.79842216E+00  -5.83812692E-02  -3.25262351E+00  -2.87463913E+00   3.77984383E-01
     31  -7.97556661E+00  -7.85460592E+00   1.20960688E-01  -3.70663019E+00  -2.97711932E+00   7.29510869E-01
     32  -8.05118277E+00  -7.88881363E+00   1.62369137E-01  -3.85113539E+00  -3.03957602E+00   8.11559365E-01
     33  -8.08256120E+00  -7.94319242E+00   1.39368783E-01  -3.91276817E+00  -3.13936481E+00   7.73403366E-01
     34  -8.11854432E+00  -8.02595451E+00   9.25898094E-02  -3.98404400E+00  -3.29269919E+00   6.91344811E-01
     35  -8.17803041E+00  -8.28220278E+00  -1.04172366E-01  -4.10241865E+00  -3.77420589E+00   3.28212754E-01
     36  -9.86709869E+00  -8.41190030E+00   1.45519839E+00  -7.48832154E+00  -4.02181609E+00   3.46650545E+00
     37  -9.90271745E+00  -9.65150840E+00   2.51209052E-01  -7.56333922E+00  -6.50475741E+00   1.05858181E+00
     38  -9.92255449E+00  -9.82813906E+00   9.44154269E-02  -7.60593776E+00  -6.85825323E+00   7.47684523E-01
     39  -9.94940335E+00  -1.03400954E+01  -3.90692000E-01  -7.66303572E+00  -7.89699408E+00  -2.33958365E-01
     40  -1.01130004E+01  -1.04690527E+01  -3.56052235E-01  -8.01809765E+00  -8.15795502E+00  -1.39857368E-01
     41  -1.01557334E+01  -1.05328116E+01  -3.77078186E-01  -8.11172515E+00  -8.29020996E+00  -1.78484812E-01
     42  -1.01898900E+01  -1.05917972E+01  -4.01907201E-01  -8.18661224E+00  -8.41388924E+00  -2.27277000E-01
     43  -1.02162389E+01  -1.06266160E+01  -4.10377178E-01  -8.24557198E+00  -8.48661362E+00  -2.41041637E-01
     44  -1.03533074E+01  -1.06514688E+01  -2.98161339E-01  -8.55697464E+00  -8.53886769E+00   1.81069514E-02
     45  -1.03560846E+01  -1.06843507E+01  -3.28266106E-01  -8.56352434E+00  -8.61282243E+00  -4.92980938E-02
     46  -1.03607307E+01  -1.07044688E+01  -3.43738113E-01  -8.57435375E+00  -8.65854890E+00  -8.41951499E-02
     47  -1.03834204E+01  -1.07293846E+01  -3.45964200E-01  -8.62970188E+00  -8.71576281E+00  -8.60609268E-02
     48  -1.03997781E+01  -1.07663089E+01  -3.66530788E-01  -8.66861921E+00  -8.80154581E+00  -1.32926606E-01
     49  -1.04110181E+01  -1.07914723E+01  -3.80454270E-01  -8.69552567E+00  -8.86144794E+00  -1.65922269E-01
     50  -1.04151931E+01  -1.08056885E+01  -3.90495455E-01  -8.70552101E+00  -8.89592708E+00  -1.90406065E-01
     51  -1.04236025E+01  -1.08187910E+01  -3.95188539E-01  -8.72610410E+00  -8.92741823E+00  -2.01314128E-01
     52  -1.04321128E+01  -1.08376010E+01  -4.05488169E-01  -8.74760191E+00  -8.97369544E+00  -2.26093529E-01
     53  -1.04474839E+01  -1.08596572E+01  -4.12173284E-01  -8.78546305E+00  -9.02664349E+00  -2.41180434E-01
     54  -1.04547831E+01  -1.08817125E+01  -4.26929342E-01  -8.80358492E+00  -9.08001413E+00  -2.76429211E-01
     55  -1.04600816E+01  -1.08997343E+01  -4.39652663E-01  -8.81691480E+00  -9.12538339E+00  -3.08468583E-01
     56  -1.04638890E+01  -1.09167961E+01  -4.52907115E-01  -8.82658148E+00  -9.16792957E+00  -3.41348085E-01
     57  -1.04703101E+01  -1.09331164E+01  -4.62806374E-01  -8.84305470E+00  -9.20985200E+00  -3.66797301E-01
     58  -1.04811625E+01  -1.09429701E+01  -4.61807591E-01  -8.87398675E+00  -9.23507216E+00  -3.61085404E-01
     59  -1.04870044E+01  -1.09642442E+01  -4.77239851E-01  -8.88952939E+00  -9.28965433E+00  -4.00124937E-01
     60  -1.04903739E+01  -1.09758596E+01  -4.85485608E-01  -8.89851068E+00  -9.31977963E+00  -4.21268943E-01
     61  -1.04967471E+01  -1.09832009E+01  -4.86453811E-01  -8.91612018E+00  -9.33915782E+00  -4.23037638E-01
     62  -1.05213300E+01  -1.09926263E+01  -4.71296281E-01  -8.98979551E+00  -9.36344629E+00  -3.73650779E-01
     63  -1.05257430E+01  -1.10008214E+01  -4.75078313E-01  -9.00211525E+00  -9.38562468E+00  -3.83509430E-01
     64  -1.05317541E+01  -1.10121361E+01  -4.80382033E-01  -9.01914623E+00  -9.41635268E+00  -3.97206448E-01
     65  -1.05501139E+01  -1.10173358E+01  -4.67221821E-01  -9.07347341E+00  -9.42980818E+00  -3.56334774E-01
     66  -1.05577630E+01  -1.10232536E+01  -4.65490637E-01  -9.09534226E+00  -9.44627229E+00  -3.50930036E-01
     67  -1.05612990E+01  -1.10303370E+01  -4.69037986E-01  -9.10549449E+00  -9.46652242E+00  -3.61027931E-01
     68  -1.05652875E+01  -1.10368158E+01  -4.71528290E-01  -9.11717029E+00  -9.48386578E+00  -3.66695485E-01
     69  -1.05732693E+01  -1.10420339E+01  -4.68764544E-01  -9.14242445E+00  -9.49874793E+00  -3.56323472E-01
     70  -1.05840303E+01  -1.10477774E+01  -4.63747123E-01  -9.17396421E+00  -9.51502017E+00  -3.41055963E-01
     71  -1.05969393E+01  -1.10554269E+01  -4.58487603E-01  -9.21461508E+00  -9.53662144E+00  -3.22006361E-01
     72  -1.06111402E+01  -1.10598973E+01  -4.48757075E-01  -9.25857147E+00  -9.54909302E+00  -2.90521557E-01
     73  -1.06193817E+01  -1.10659949E+01  -4.46613188E-01  -9.28446775E+00  -9.56669893E+00  -2.82231182E-01
     74  -1.06311284E+01  -1.10728587E+01  -4.41730313E-01  -9.32116675E+00  -9.58701990E+00  -2.65853145E-01
     75  -1.06394224E+01  -1.10774151E+01  -4.37992685E-01  -9.34822071E+00  -9.60111085E+00  -2.52890134E-01
     76  -1.06628952E+01  -1.10850369E+01  -4.22141726E-01  -9.42685921E+00  -9.62294651E+00  -1.96087307E-01
     77  -1.06672906E+01  -1.10910563E+01  -4.23765764E-01  -9.44004964E+00  -9.64115450E+00  -2.01104853E-01
     78  -1.06734985E+01  -1.10975375E+01  -4.24039002E-01  -9.46068604E+00  -9.66126264E+00  -2.00576592E-01
     79  -1.06793661E+01  -1.11036437E+01  -4.24277690E-01  -9.48022841E+00  -9.67863022E+00  -1.98401817E-01
     80  -1.06820653E+01  -1.11080122E+01  -4.25946924E-01  -9.48918027E+00  -9.69279052E+00  -2.03610244E-01
     81  -1.06919324E+01  -1.11129989E+01  -4.21066486E-01  -9.52376203E+00  -9.70765005E+00  -1.83888019E-01
     82  -1.06971611E+01  -1.11219405E+01  -4.24779430E-01  -9.54113788E+00  -9.73467239E+00  -1.93534512E-01
     83  -1.06988674E+01  -1.11267174E+01  -4.27850000E-01  -9.54665583E+00  -9.74956843E+00  -2.02912595E-01
     84  -1.07032788E+01  -1.11307401E+01  -4.27461295E-01  -9.56225621E+00  -9.76300617E+00  -2.00749952E-01
     85  -1.07096395E+01  -1.11348911E+01  -4.25251563E-01  -9.58556277E+00  -9.77690411E+00  -1.91341342E-01
     86  -1.07132212E+01  -1.11377829E+01  -4.24561754E-01  -9.59766502E+00  -9.78590696E+00  -1.88241940E-01
     87  -1.07154124E+01  -1.11409042E+01  -4.25491868E-01  -9.60506968E+00  -9.79610207E+00  -1.91032386E-01
     88  -1.07185535E+01  -1.11429653E+01  -4.24411800E-01  -9.61605571E+00  -9.80298736E+00  -1.86931646E-01
     89  -1.07204085E+01  -1.11457241E+01  -4.25315629E-01  -9.62226794E+00  -9.81220536E+00  -1.89937421E-01
     90  -1.07219192E+01  -1.11469521E+01  -4.25032937E-01  -9.62758204E+00  -9.81646645E+00  -1.88884411E-01
     91  -1.07237783E+01  -1.11507806E+01  -4.27002255E-01  -9.63431071E+00  -9.82934789E+00  -1.95037182E-01
     92  -1.07251130E+01  -1.11537354E+01  -4.28622380E-01  -9.63880777E+00  -9.83988350E+00  -2.01075729E-01
     93  -1.07277987E+01  -1.11582280E+01  -4.30429300E-01  -9.64755355E+00  -9.85557392E+00  -2.08020366E-01
     94  -1.07297329E+01  -1.11607061E+01  -4.30973135E-01  -9.65462458E+00  -9.86420697E+00  -2.09582395E-01
     95  -1.07310991E+01  -1.11625406E+01  -4.31441461E-01  -9.65957840E+00  -9.87083581E+00  -2.11257410E-01
     96  -1.07321535E+01  -1.11662215E+01  -4.34067976E-01  -9.66319615E+00  -9.88348820E+00  -2.20292046E-01
     97  -1.07356674E+01  -1.11695400E+01  -4.33872635E-01  -9.67747238E+00  -9.89627020E+00  -2.18797824E-01
     98  -1.07374193E+01  -1.11726010E+01  -4.35181711E-01  -9.68361554E+00  -9.90730491E+00  -2.23689369E-01
     99  -1.07383480E+01  -1.11759476E+01  -4.37599559E-01  -9.68681150E+00  -9.91975529E+00  -2.32943790E-01
# k =   0.333333   0.333333   0.000000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -1.18195820E+01  -1.03534163E+01   1.46616562E+00
# Error est. for CH(vbm) CH(cbm) diff =   2.37507597E-01   3.01598757E-01   6.40911602E-02
# 1/N extrap for CH`(vbm) CH`(cbm) diff =  -1.13020459E+01  -9.72845048E+00   1.57359539E+00
# Error est. for CH`(vbm) CH`(cbm) diff =   9.63585497E-01   1.08221981E+00   1.18634309E-01
#    Nb          CH(vbm)          CH(cbm)             diff         CH`(vbm)         CH`(cbm)            diff`
      1  -5.91727935E+00  -5.87612253E+00   4.11568235E-02  -1.22560312E-04  -5.12689308E-02  -5.11463705E-02
      2  -6.05015978E+00  -5.87612492E+00   1.74034862E-01  -1.92089093E-01  -5.12735196E-02   1.40815573E-01
      3  -6.06363579E+00  -5.87612501E+00   1.87510783E-01  -2.10154921E-01  -5.12738636E-02   1.58881058E-01
      4  -6.06148669E+00  -5.87612552E+00   1.85361163E-01  -2.12932708E-01  -5.12746030E-02   1.61658105E-01
      5  -6.07410123E+00  -5.87612544E+00   1.97975791E-01  -2.30116975E-01  -5.12747555E-02   1.78842219E-01
      6  -6.07062934E+00  -5.87612591E+00   1.94503432E-01  -2.31465248E-01  -5.12754512E-02   1.80189797E-01
      7  -6.06979523E+00  -5.87612626E+00   1.93668974E-01  -2.32949028E-01  -5.12759071E-02   1.81673121E-01
      8  -6.06332064E+00  -5.87612666E+00   1.87193981E-01  -2.28713026E-01  -5.12764244E-02   1.77436601E-01
      9  -6.06246552E+00  -5.87612680E+00   1.86338723E-01  -2.30236980E-01  -5.12766850E-02   1.78960295E-01
     10  -6.06492700E+00  -5.87612709E+00   1.88799903E-01  -2.34776881E-01  -5.12771112E-02   1.83499770E-01
     11  -6.06833459E+00  -5.87612713E+00   1.92207457E-01  -2.39739771E-01  -5.12772452E-02   1.88462526E-01
     12  -6.06852053E+00  -5.87612729E+00   1.92393241E-01  -2.41442563E-01  -5.12774836E-02   1.90165080E-01
     13  -6.06879464E+00  -6.21122097E+00  -1.42426333E-01  -2.41944129E-01  -4.61383900E-01  -2.19439772E-01
     14  -6.06962442E+00  -6.20962847E+00  -1.40004047E-01  -2.42949875E-01  -5.88513357E-01  -3.45563482E-01
     15  -6.07008082E+00  -6.07929759E+00  -9.21676737E-03  -2.43600015E-01  -5.66973605E-01  -3.23373589E-01
     16  -6.07909072E+00  -6.07932234E+00  -2.31616831E-04  -2.55702922E-01  -5.67006121E-01  -3.11303198E-01
     17  -6.55337920E+00  -6.07932970E+00   4.74049496E-01  -8.80856657E-01  -5.67014986E-01   3.13841671E-01
     18  -7.55892651E+00  -6.07933755E+00   1.47958896E+00  -2.04764648E+00  -5.67024511E-01   1.48062197E+00
     19  -7.55991982E+00  -6.14602754E+00   1.41389228E+00  -2.04918892E+00  -6.68010140E-01   1.38117878E+00
     20  -7.59861521E+00  -6.15578554E+00   1.44282967E+00  -2.10830576E+00  -6.84051683E-01   1.42425408E+00
     21  -7.63426850E+00  -6.16520428E+00   1.46906422E+00  -2.16366753E+00  -6.99721751E-01   1.46394578E+00
     22  -7.69008737E+00  -6.16647068E+00   1.52361669E+00  -2.25136882E+00  -7.01756670E-01   1.54961215E+00
     23  -7.69129901E+00  -6.31325270E+00   1.37804631E+00  -2.25344731E+00  -9.50279348E-01   1.30316796E+00
     24  -7.76855006E+00  -6.41345125E+00   1.35509881E+00  -2.38976767E+00  -1.12433376E+00   1.26543390E+00
     25  -7.82262371E+00  -6.50948570E+00   1.31313802E+00  -2.48509357E+00  -1.29231257E+00   1.19278100E+00
     26  -7.90633707E+00  -6.57811573E+00   1.32822134E+00  -2.63416549E+00  -1.41299891E+00   1.22116658E+00
     27  -7.94611575E+00  -6.58644832E+00   1.35966743E+00  -2.70677181E+00  -1.42788843E+00   1.27888339E+00
     28  -7.99291105E+00  -6.59837906E+00   1.39453199E+00  -2.79237296E+00  -1.44958370E+00   1.34278926E+00
     29  -8.02701443E+00  -6.61586579E+00   1.41114864E+00  -2.85558479E+00  -1.48170307E+00   1.37388172E+00
     30  -8.08614067E+00  -6.62946402E+00   1.45667665E+00  -2.96881889E+00  -1.50689179E+00   1.46192711E+00
     31  -8.19475443E+00  -6.63914686E+00   1.55560757E+00  -3.17534744E+00  -1.52463859E+00   1.65070885E+00
     32  -8.20947436E+00  -6.70932484E+00   1.50014952E+00  -3.20298925E+00  -1.65369715E+00   1.54929210E+00
     33  -8.23062845E+00  -6.81303932E+00   1.41758913E+00  -3.24349274E+00  -1.84696932E+00   1.39652342E+00
     34  -8.25201510E+00  -7.12535599E+00   1.12665910E+00  -3.28479242E+00  -2.43262364E+00   8.52168778E-01
     35  -8.55548311E+00  -7.17949688E+00   1.37598623E+00  -3.87387602E+00  -2.53747823E+00   1.33639779E+00
     36  -1.04191324E+01  -7.22576755E+00   3.19336482E+00  -7.60330754E+00  -2.62798041E+00   4.97532713E+00
     37  -1.05440160E+01  -9.18691106E+00   1.35710495E+00  -7.86407869E+00  -6.57045832E+00   1.29362036E+00
     38  -1.05605895E+01  -9.22431924E+00   1.33627031E+00  -7.89833353E+00  -6.64645640E+00   1.25187713E+00
     39  -1.06566820E+01  -9.52022172E+00   1.13646023E+00  -8.10213328E+00  -7.25498680E+00   8.47146472E-01
     40  -1.10188190E+01  -9.52464816E+00   1.49417081E+00  -8.86319766E+00  -7.26404867E+00   1.59914898E+00
     41  -1.10986854E+01  -9.53371870E+00   1.56496671E+00  -9.03286463E+00  -7.28299619E+00   1.74986844E+00
     42  -1.11159605E+01  -9.56215710E+00   1.55380343E+00  -9.06989173E+00  -7.34293632E+00   1.72695541E+00
     43  -1.11422223E+01  -9.56725349E+00   1.57496880E+00  -9.12572593E+00  -7.35372260E+00   1.77200332E+00
     44  -1.11849791E+01  -9.56923136E+00   1.61574779E+00  -9.21758106E+00  -7.35790060E+00   1.85968046E+00
     45  -1.11873243E+01  -9.62260435E+00   1.56471997E+00  -9.22303388E+00  -7.47725319E+00   1.74578069E+00
     46  -1.11968988E+01  -9.63917706E+00   1.55772178E+00  -9.24585857E+00  -7.51556037E+00   1.73029820E+00
     47  -1.12249811E+01  -9.66408825E+00   1.56089281E+00  -9.31333537E+00  -7.57311181E+00   1.74022356E+00
     48  -1.12534173E+01  -9.67176176E+00   1.58165557E+00  -9.38101612E+00  -7.59060995E+00   1.79040617E+00
     49  -1.12694264E+01  -9.69359890E+00   1.57582747E+00  -9.41945899E+00  -7.64340764E+00   1.77605136E+00
     50  -1.12802006E+01  -9.70257960E+00   1.57762098E+00  -9.44614608E+00  -7.66523080E+00   1.78091528E+00
     51  -1.12850217E+01  -9.71481890E+00   1.57020276E+00  -9.45779242E+00  -7.69560598E+00   1.76218644E+00
     52  -1.13007519E+01  -9.72949526E+00   1.57125668E+00  -9.49619647E+00  -7.73098546E+00   1.76521101E+00
     53  -1.13239730E+01  -9.73579443E+00   1.58817854E+00  -9.55419998E+00  -7.74645072E+00   1.80774927E+00
     54  -1.13327840E+01  -9.75157589E+00   1.58120812E+00  -9.57557599E+00  -7.78501168E+00   1.79056431E+00
     55  -1.13411072E+01  -9.76433097E+00   1.57677619E+00  -9.59667215E+00  -7.81620450E+00   1.78046765E+00
     56  -1.13488708E+01  -9.78780388E+00   1.56106694E+00  -9.61744508E+00  -7.87592307E+00   1.74152201E+00
     57  -1.13575462E+01  -9.80384453E+00   1.55370167E+00  -9.64011606E+00  -7.91638777E+00   1.72372830E+00
     58  -1.13626428E+01  -9.83763183E+00   1.52501097E+00  -9.65328214E+00  -8.01110832E+00   1.64217382E+00
     59  -1.13722657E+01  -9.88170904E+00   1.49055668E+00  -9.68020071E+00  -8.12842948E+00   1.55177123E+00
     60  -1.13798236E+01  -9.89863376E+00   1.48118980E+00  -9.70189330E+00  -8.17149391E+00   1.53039939E+00
     61  -1.13902245E+01  -9.90799740E+00   1.48222712E+00  -9.73143862E+00  -8.19652253E+00   1.53491609E+00
     62  -1.14137813E+01  -9.91177988E+00   1.50200146E+00  -9.79807365E+00  -8.20700546E+00   1.59106819E+00
     63  -1.14188367E+01  -9.91853741E+00   1.50029932E+00  -9.81291285E+00  -8.22551536E+00   1.58739749E+00
     64  -1.14278017E+01  -9.92198794E+00   1.50581372E+00  -9.83750621E+00  -8.23464434E+00   1.60286187E+00
     65  -1.14460001E+01  -9.92836224E+00   1.51763788E+00  -9.89180569E+00  -8.25209294E+00   1.63971275E+00
     66  -1.14523718E+01  -9.93100838E+00   1.52136342E+00  -9.90947763E+00  -8.25989724E+00   1.64958039E+00
     67  -1.14560752E+01  -9.94129196E+00   1.51478324E+00  -9.92089624E+00  -8.28799781E+00   1.63289842E+00
     68  -1.14581005E+01  -9.95166429E+00   1.50643616E+00  -9.92683907E+00  -8.31929038E+00   1.60754870E+00
     69  -1.14660755E+01  -9.95595184E+00   1.51012361E+00  -9.95058786E+00  -8.33193791E+00   1.61864995E+00
     70  -1.14701954E+01  -9.95788546E+00   1.51230990E+00  -9.96276055E+00  -8.33719303E+00   1.62556752E+00
     71  -1.14760546E+01  -9.96022136E+00   1.51583319E+00  -9.97990261E+00  -8.34383102E+00   1.63607159E+00
     72  -1.14802408E+01  -9.96356006E+00   1.51668074E+00  -9.99285316E+00  -8.35395899E+00   1.63889417E+00
     73  -1.14854962E+01  -9.96776449E+00   1.51773169E+00  -1.00076212E+01  -8.36632623E+00   1.64129498E+00
     74  -1.14910512E+01  -9.97061551E+00   1.52043566E+00  -1.00250312E+01  -8.37411137E+00   1.65091981E+00
     75  -1.14954581E+01  -9.97310881E+00   1.52234927E+00  -1.00394600E+01  -8.38093039E+00   1.65852964E+00
     76  -1.15088196E+01  -9.97453653E+00   1.53428309E+00  -1.00802812E+01  -8.38525174E+00   1.69502943E+00
     77  -1.15128833E+01  -9.97791146E+00   1.53497184E+00  -1.00928196E+01  -8.39552649E+00   1.69729311E+00
     78  -1.15181029E+01  -9.98213440E+00   1.53596854E+00  -1.01086156E+01  -8.40775981E+00   1.70085575E+00
     79  -1.15237100E+01  -9.98466463E+00   1.53904538E+00  -1.01246877E+01  -8.41525850E+00   1.70942921E+00
     80  -1.15267961E+01  -9.98822533E+00   1.53857074E+00  -1.01354107E+01  -8.42552397E+00   1.70988675E+00
     81  -1.15314675E+01  -9.99027697E+00   1.54119049E+00  -1.01508843E+01  -8.43230009E+00   1.71858419E+00
     82  -1.15374786E+01  -9.99711356E+00   1.54036500E+00  -1.01699424E+01  -8.45251975E+00   1.71742270E+00
     83  -1.15389878E+01  -1.00039262E+01   1.53506153E+00  -1.01748065E+01  -8.47211973E+00   1.70268674E+00
     84  -1.15432800E+01  -1.00091929E+01   1.53408701E+00  -1.01899921E+01  -8.49330820E+00   1.69668385E+00
     85  -1.15463241E+01  -1.00109090E+01   1.53541515E+00  -1.01995957E+01  -8.49869635E+00   1.70089938E+00
     86  -1.15498506E+01  -1.00128548E+01   1.53699579E+00  -1.02116584E+01  -8.50545258E+00   1.70620584E+00
     87  -1.15521263E+01  -1.00156900E+01   1.53643632E+00  -1.02192693E+01  -8.51491272E+00   1.70435660E+00
     88  -1.15545032E+01  -1.00175681E+01   1.53693507E+00  -1.02277486E+01  -8.52218830E+00   1.70556035E+00
     89  -1.15567811E+01  -1.00201306E+01   1.53665054E+00  -1.02360865E+01  -8.53124063E+00   1.70484585E+00
     90  -1.15583236E+01  -1.00216577E+01   1.53666590E+00  -1.02421018E+01  -8.53800869E+00   1.70409313E+00
     91  -1.15609872E+01  -1.00246096E+01   1.53637761E+00  -1.02520736E+01  -8.54776209E+00   1.70431147E+00
