# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1      35     0.19019    -0.27897     0.00000    2.420285133   -0.187513608   -2.607798741
     1      35     0.19019    -0.13058     0.00000    2.582370176    0.274303516   -2.308066660
     1      35     0.19019     0.01781     0.00000    2.760720171    0.450844811   -2.309875361
     1      35     0.31870     0.24039     0.00000    2.285087117   -0.110430649   -2.395517765
     1      35     0.31870     0.38877     0.00000    2.313961578    0.063267559   -2.250694019
     1      35     0.31870     0.53716     0.00000    2.858097184    0.816226797   -2.041870387
     1      35     0.31870    -0.50155     0.00000    2.722705583    0.673048060   -2.049657523
     1      35     0.31870    -0.35316     0.00000    2.217348516   -0.091193776   -2.308542292
     1      35     0.31870    -0.20477     0.00000    2.431076498    0.116476539   -2.314599960
     1      35     0.31870    -0.05639     0.00000    2.395715339   -0.170871541   -2.566586879
     1      35     0.31870     0.09200     0.00000    2.264618690   -0.214032526   -2.478651215
     1      35     0.44720     0.31458     0.00000    2.482914384    0.057167383   -2.425747001
     1      35    -0.58085    -0.13058     0.00000    2.540314242    0.411350890   -2.128963352
     1      35    -0.58085     0.01781     0.00000    2.669031464    0.618503262   -2.050528202
     1      35    -0.58085     0.16619     0.00000    2.473161544    0.288140715   -2.185020829
     1      35     0.44720    -0.27897     0.00000    2.652328710    0.347194077   -2.305134633
     1      35     0.44720    -0.13058     0.00000    2.151715673   -0.193634826   -2.345350500
     1      35     0.44720     0.01781     0.00000    2.189798506   -0.148687227   -2.338485733
     1      35     0.44720     0.16619     0.00000    2.157450818   -0.254257295   -2.411708114
     1      35    -0.45234    -0.20477     0.00000    2.409857121    0.010047517   -2.399809605
     1      35    -0.45234    -0.05639     0.00000    2.197392196   -0.119990758   -2.317382954
     1      35    -0.45234     0.09200     0.00000    2.187375829   -0.138349309   -2.325725138
     1      35    -0.45234     0.24039     0.00000    2.623583395    0.323978898   -2.299604497
     1      35    -0.45234     0.38877     0.00000    2.383814972    0.070393719   -2.313421253
     1      35     0.57571    -0.05639     0.00000    2.623170105    0.523439396   -2.099730709
     1      35     0.57571     0.09200     0.00000    2.584608415    0.468737331   -2.115871084
     1      35    -0.45234    -0.35316     0.00000    2.310134565   -0.086858117   -2.396992682
     1      35    -0.32384    -0.13058     0.00000    2.295640449   -0.191462261   -2.487102711
     1      35    -0.32384     0.01781     0.00000    2.470396674   -0.138997127   -2.609393801
     1      35    -0.32384     0.16619     0.00000    2.437349627    0.087996880   -2.349352746
     1      35    -0.32384     0.31458     0.00000    2.126534489   -0.227374713   -2.353909202
     1      35    -0.32384     0.46297     0.00000    2.575522455    0.471368383   -2.104154072
     1      35    -0.32384    -0.57574     0.00000    2.960490557    0.918849499   -2.041641057
     1      35    -0.32384    -0.42735     0.00000    2.444065011    0.281445405   -2.162619606
     1      35    -0.32384    -0.27897     0.00000    2.101363028   -0.317082170   -2.418445199
     1      35    -0.19533    -0.05639     0.00000    2.706873587    0.402103288   -2.304770298
     1      35    -0.19533     0.09200     0.00000    2.642679811    0.350740595   -2.291939216
     1      35    -0.19533     0.24039     0.00000    2.453347479   -0.119149613   -2.572497092
     1      35    -0.19533     0.38877     0.00000    2.166331832   -0.205900019   -2.372231852
     1      35    -0.19533     0.53716     0.00000    2.533442940    0.389250200   -2.144192740
     1      35    -0.19533    -0.50155     0.00000    2.437979540    0.256548596   -2.181430943
     1      35    -0.19533    -0.35316     0.00000    2.190388566   -0.425373004   -2.615761570
     1      35    -0.19533    -0.20477     0.00000    2.467309521   -0.034573359   -2.501882879
     1      35    -0.06682     0.01781     0.00000    2.849904854    0.693170343   -2.156734511
     1      35    -0.06682     0.16619     0.00000    2.776265657    0.509347385   -2.266918272
     1      35    -0.06682     0.31458     0.00000    2.272089797   -0.194773509   -2.466863307
     1      35    -0.06682     0.46297     0.00000    2.229306212   -0.195848990   -2.425155202
     1      35    -0.06682    -0.57574     0.00000    2.361801255   -0.100566460   -2.462367715
     1      35    -0.06682    -0.42735     0.00000    2.188746566   -0.229543127   -2.418289694
     1      35    -0.06682    -0.27897     0.00000    2.411129315   -0.046189047   -2.457318362
     1      35    -0.06682    -0.13058     0.00000    2.818796847    0.612715782   -2.206081065
     1      36     0.06168     0.09200     0.00000    3.311528785    1.196275408   -2.115253377
     1      36     0.06168     0.24039     0.00000    2.829258572    0.579947005   -2.249311567
     1      36     0.06168     0.38877     0.00000    2.823547956    0.263446535   -2.560101421
     1      36     0.06168     0.53716     0.00000    3.124723645    0.586115927   -2.538607718
     1      36     0.06168    -0.50155     0.00000    3.068934519    0.517557695   -2.551376824
     1      36     0.06168    -0.35316     0.00000    2.746604236    0.235446600   -2.511157636
     1      36     0.06168    -0.20477     0.00000    2.951103561    0.724789967   -2.226313594
     1      36     0.06168    -0.05639     0.00000    3.371102987    1.260392145   -2.110710842
     1      36     0.19019     0.16619     0.00000    2.808038212    0.561323674   -2.246714538
     1      36     0.19019     0.31458     0.00000    2.879557464    0.413756145   -2.465801319
     1      36     0.19019     0.46297     0.00000    3.143494562    0.820694732   -2.322799831
