  0.060000000  0.047500000  0.000000000       3
       1      34    2.598968644    0.099119720
       1      35    2.841219076    0.672017632
       1      36    3.311528785    1.196275408
  0.060000000  0.172500000  0.000000000       3
       1      34    2.367563864   -0.182642672
       1      35    2.562958758    0.152158376
       1      36    2.829258572    0.579947005
  0.060000000  0.297500000  0.000000000       3
       1      34    2.012776494   -0.328930516
       1      35    2.208573134   -0.215734333
       1      36    2.823547956    0.263446535
  0.060000000  0.422500000  0.000000000       3
       1      34    2.178013370   -0.204648098
       1      35    2.373137764   -0.077458111
       1      36    3.124723645    0.586115927
  0.060000000 -0.452500000  0.000000000       3
       1      34    2.111455739   -0.262193837
       1      35    2.326089376   -0.107414360
       1      36    3.068934519    0.517557695
  0.060000000 -0.327500000  0.000000000       3
       1      34    2.092905672   -0.290700826
       1      35    2.225984289   -0.245903867
       1      36    2.746604236    0.235446600
  0.060000000 -0.202500000  0.000000000       3
       1      34    2.487478936   -0.049897717
       1      35    2.688303220    0.339447852
       1      36    2.951103561    0.724789967
  0.060000000 -0.077500000  0.000000000       3
       1      34    2.578091071    0.101909432
       1      35    2.848158302    0.687767939
       1      36    3.371102987    1.260392145
  0.185000000  0.047500000  0.000000000       3
       1      34    2.313282868   -0.282798924
       1      35    2.518597434    0.142575279
       1      36    2.808038212    0.561323674
  0.185000000  0.172500000  0.000000000       3
       1      34    2.120884620   -0.297700096
       1      35    2.330897343   -0.284998254
       1      36    2.879557464    0.413756145
  0.185000000  0.297500000  0.000000000       3
       1      34    1.721114785   -1.036062336
       1      35    2.316914051    0.080891568
       1      36    3.143494562    0.820694732
  0.185000000 -0.577500000  0.000000000       3
       1      34    1.400733417   -1.425854886
       1      35    2.582555399    0.483896164
       1      36    3.368785527    1.140219777
  0.185000000 -0.452500000  0.000000000       3
       1      34    1.875368556   -0.851076091
       1      35    2.229040976   -0.055414406
       1      36    3.063679316    0.698835649
  0.185000000 -0.327500000  0.000000000       3
       1      34    2.152222194   -0.268668797
       1      35    2.420285133   -0.187513608
       1      36    2.824475538    0.384898770
  0.185000000 -0.202500000  0.000000000       3
       1      34    2.308547416   -0.338384773
       1      35    2.582370176    0.274303516
       1      36    2.875982010    0.653430683
  0.185000000 -0.077500000  0.000000000       3
       1      34    2.571518901    0.075757105
       1      35    2.760720171    0.450844811
       1      36    3.043103874    0.847715586
  0.310000000  0.047500000  0.000000000       3
       1      34    1.980913344   -0.349986834
       1      35    2.285087117   -0.110430649
       1      36    2.809466929    0.217722053
  0.310000000  0.172500000  0.000000000       3
       1      34    1.700862039   -1.044275630
       1      35    2.313961578    0.063267559
       1      36    3.148902474    0.812116256
  0.310000000  0.297500000  0.000000000       3
       1      34    1.250183228   -1.615705970
       1      35    2.858097184    0.816226797
       1      36    3.524802638    1.357092416
  0.310000000 -0.577500000  0.000000000       3
       1      34    1.346357517   -1.523211161
       1      35    2.722705583    0.673048060
       1      36    3.435355739    1.261137799
  0.310000000 -0.452500000  0.000000000       3
       1      34    1.777240201   -0.927095003
       1      35    2.217348516   -0.091193776
       1      36    3.081689815    0.682546330
  0.310000000 -0.327500000  0.000000000       3
       1      34    1.967782830   -0.347550634
       1      35    2.431076498    0.116476539
       1      36    2.679983320    0.004435915
  0.310000000 -0.202500000  0.000000000       3
       1      34    2.156328506   -0.302963338
       1      35    2.395715339   -0.170871541
       1      36    2.781942798    0.363068372
  0.310000000 -0.077500000  0.000000000       3
       1      34    2.139180529   -0.417375289
       1      35    2.264618690   -0.214032526
       1      36    2.744975858    0.306095008
  0.435000000  0.047500000  0.000000000       3
       1      34    2.157938048   -0.224196028
       1      35    2.482914384    0.057167383
       1      36    3.100740349    0.532235717
 -0.565000000  0.172500000  0.000000000       3
       1      34    1.425614508   -1.381846857
       1      35    2.540314242    0.411350890
       1      36    3.343563921    1.090632294
 -0.565000000  0.297500000  0.000000000       3
       1      34    1.391684535   -1.481575862
       1      35    2.669031464    0.618503262
       1      36    3.396455678    1.221866985
 -0.565000000  0.422500000  0.000000000       3
       1      34    1.471931460   -1.269706243
       1      35    2.473161544    0.288140715
       1      36    3.310952580    1.007426750
  0.435000000 -0.452500000  0.000000000       3
       1      34    2.053827751   -0.307336940
       1      35    2.652328710    0.347194077
       1      36    2.996271802    0.309184521
  0.435000000 -0.327500000  0.000000000       3
       1      34    1.830142321   -0.672287035
       1      35    2.151715673   -0.193634826
       1      36    3.046950145    0.585535907
  0.435000000 -0.202500000  0.000000000       3
       1      34    1.988920090   -0.697920456
       1      35    2.189798506   -0.148687227
       1      36    3.020138790    0.618169626
  0.435000000 -0.077500000  0.000000000       3
       1      34    2.073628916   -0.313546096
       1      35    2.157450818   -0.254257295
       1      36    3.041798788    0.524916501
 -0.440000000  0.047500000  0.000000000       3
       1      34    2.063425273   -0.303765126
       1      35    2.409857121    0.010047517
       1      36    3.026311249    0.437478267
 -0.440000000  0.172500000  0.000000000       3
       1      34    1.916900963   -0.786114818
       1      35    2.197392196   -0.119990758
       1      36    3.038495626    0.640970563
 -0.440000000  0.297500000  0.000000000       3
       1      34    1.837744858   -0.856201905
       1      35    2.187375829   -0.138349309
       1      36    3.050119019    0.632121819
 -0.440000000  0.422500000  0.000000000       3
       1      34    2.025129844   -0.330075659
       1      35    2.623583395    0.323978898
       1      36    2.978767862    0.286835210
 -0.440000000  0.547500000  0.000000000       3
       1      34    1.880540829   -0.727361048
       1      35    2.383814972    0.070393719
       1      36    3.259482177    0.848895891
  0.560000000 -0.327500000  0.000000000       3
       1      34    1.414602546   -1.423994407
       1      35    2.623170105    0.523439396
       1      36    3.371909065    1.158102909
  0.560000000 -0.202500000  0.000000000       3
       1      34    1.421521767   -1.401406234
       1      35    2.584608415    0.468737331
       1      36    3.357955411    1.125189253
 -0.440000000 -0.077500000  0.000000000       3
       1      34    2.185910375   -0.271560602
       1      35    2.310134565   -0.086858117
       1      36    3.196069932    0.709208546
 -0.315000000  0.047500000  0.000000000       3
       1      34    2.095793791   -0.262940929
       1      35    2.295640449   -0.191462261
       1      36    2.697424230    0.195609205
 -0.315000000  0.172500000  0.000000000       3
       1      34    2.185014514   -0.233109776
       1      35    2.470396674   -0.138997127
       1      36    2.807410703    0.388440941
 -0.315000000  0.297500000  0.000000000       3
       1      34    2.004522265   -0.312897750
       1      35    2.437349627    0.087996880
       1      36    2.637130290   -0.004436619
 -0.315000000  0.422500000  0.000000000       3
       1      34    1.832702389   -0.677142458
       1      35    2.126534489   -0.227374713
       1      36    3.015389687    0.537408734
 -0.315000000  0.547500000  0.000000000       3
       1      34    1.461209152   -1.378308378
       1      35    2.575522455    0.471368383
       1      36    3.334775530    1.118353505
 -0.315000000 -0.327500000  0.000000000       3
       1      34    1.185188216   -1.673001366
       1      35    2.960490557    0.918849499
       1      36    3.588128254    1.420541592
 -0.315000000 -0.202500000  0.000000000       3
       1      34    1.575727298   -1.227953374
       1      35    2.444065011    0.281445405
       1      36    3.242423455    0.979028413
 -0.315000000 -0.077500000  0.000000000       3
       1      34    2.023102616   -0.345880360
       1      35    2.101363028   -0.317082170
       1      36    2.932064796    0.393957433
 -0.190000000  0.047500000  0.000000000       3
       1      34    2.486945102   -0.079556677
       1      35    2.706873587    0.402103288
       1      36    2.988667874    0.774182730
 -0.190000000  0.172500000  0.000000000       3
       1      34    2.364879449   -0.270516405
       1      35    2.642679811    0.350740595
       1      36    2.933151262    0.718168382
 -0.190000000  0.297500000  0.000000000       3
       1      34    2.203145402   -0.249392519
       1      35    2.453347479   -0.119149613
       1      36    2.773404396    0.384111691
 -0.190000000  0.422500000  0.000000000       3
       1      34    2.038729921   -0.623006085
       1      35    2.166331832   -0.205900019
       1      36    2.996772299    0.565333355
 -0.190000000  0.547500000  0.000000000       3
       1      34    1.458070015   -1.347482501
       1      35    2.533442940    0.389250200
       1      36    3.324665799    1.069484387
 -0.190000000 -0.327500000  0.000000000       3
       1      34    1.565750990   -1.222959983
       1      35    2.437979540    0.256548596
       1      36    3.244784548    0.965061178
 -0.190000000 -0.202500000  0.000000000       3
       1      34    2.123199767   -0.298496676
       1      35    2.190388566   -0.425373004
       1      36    2.941723966    0.474413776
 -0.190000000 -0.077500000  0.000000000       3
       1      34    2.263731995   -0.250269089
       1      35    2.467309521   -0.034573359
       1      36    2.756430901    0.441242193
 -0.065000000  0.047500000  0.000000000       3
       1      34    2.572649000    0.113298574
       1      35    2.849904854    0.693170343
       1      36    3.395315014    1.287906254
 -0.065000000  0.172500000  0.000000000       3
       1      34    2.576623662    0.057195259
       1      35    2.776265657    0.509347385
       1      36    3.087091379    0.908047762
 -0.065000000  0.297500000  0.000000000       3
       1      34    2.192227588   -0.365607977
       1      35    2.272089797   -0.194773509
       1      36    2.712604788    0.302669162
 -0.065000000  0.422500000  0.000000000       3
       1      34    2.050789255   -0.311443007
       1      35    2.229306212   -0.195848990
       1      36    3.002857674    0.451175752
 -0.065000000 -0.452500000  0.000000000       3
       1      34    2.229980919   -0.160196129
       1      35    2.361801255   -0.100566460
       1      36    3.171661885    0.653914917
 -0.065000000 -0.327500000  0.000000000       3
       1      34    2.009107672   -0.340021424
       1      35    2.188746566   -0.229543127
       1      36    2.924249629    0.364348387
 -0.065000000 -0.202500000  0.000000000       3
       1      34    2.221812094   -0.353555343
       1      35    2.411129315   -0.046189047
       1      36    2.735292283    0.422103668
 -0.065000000 -0.077500000  0.000000000       3
       1      34    2.606388078    0.088023526
       1      35    2.818796847    0.612715782
       1      36    3.205081613    1.063387153
