  0.000000000  0.000000000  0.000000000       4
       1      35    2.828430483    2.744331327
       1      36    3.448072013    3.475915762
       1      37    5.731258104    6.892759849
       1      38    5.731259265    6.892761010
  0.000000000  0.083333333  0.000000000       4
       1      35    2.820975632    2.736861572
       1      36    3.336908081    3.322115194
       1      37    5.647445670    6.836923608
       1      38    5.735323807    6.728015758
  0.000000000  0.166666667  0.000000000       4
       1      35    2.688882860    2.572608912
       1      36    2.973902306    2.868648168
       1      37    5.316141558    6.117031952
       1      38    5.571686086    6.508535399
  0.000000000  0.250000000  0.000000000       4
       1      35    2.261682679    1.744819465
       1      36    2.566753128    2.455298333
       1      37    5.071685500    5.914315584
       1      38    5.433781682    6.673270083
 -0.000000000  0.333333333  0.000000000       4
       1      35    2.379509948    2.187201515
       1      36    2.654969748    1.872854403
       1      37    5.251271403    6.298727794
       1      38    5.403835363    6.879457218
  0.000000000  0.416666667  0.000000000       4
       1      35    2.547973483    2.170276051
       1      36    2.910055704    1.842226581
       1      37    5.515544134    7.221063853
       1      38    5.568162846    6.985911689
  0.000000000  0.500000000  0.000000000       4
       1      35    2.697634503    2.228894944
       1      36    2.989998054    1.804098624
       1      37    5.583050845    7.191276816
       1      38    5.604465479    7.397900178
  0.000000000  0.583333333  0.000000000       4
       1      35    2.547973483    2.170276447
       1      36    2.910055704    1.842227166
       1      37    5.515544134    7.221064383
       1      38    5.568162846    6.985911634
  0.000000000  0.666666667  0.000000000       4
       1      35    2.379509948    2.187201215
       1      36    2.654969748    1.872855530
       1      37    5.251271403    6.298725648
       1      38    5.403835363    6.879457255
  0.000000000  0.750000000  0.000000000       4
       1      35    2.261682679    1.744820452
       1      36    2.566753128    2.455295807
       1      37    5.071685500    5.914309522
       1      38    5.433781682    6.673267549
  0.000000000  0.833333333  0.000000000       4
       1      35    2.688882860    2.572611019
       1      36    2.973902306    2.868640499
       1      37    5.316141558    6.117021223
       1      38    5.571686086    6.508532419
  0.000000000  0.916666667  0.000000000       4
       1      35    2.820975632    2.736864026
       1      36    3.336908081    3.322109667
       1      37    5.647445670    6.836922586
       1      38    5.735323807    6.728010693
  0.083333333  0.083333333  0.000000000       4
       1      35    2.767411478    2.576932686
       1      36    3.100339617    2.989728612
       1      37    5.447359806    6.342386522
       1      38    5.567463300    6.723213007
  0.083333333  0.166666667  0.000000000       4
       1      35    2.558350775    1.762371442
       1      36    2.738292632    2.606709292
       1      37    5.080109456    5.846170316
       1      38    5.332840958    6.296870859
  0.083333333  0.250000000  0.000000000       4
       1      35    2.178452224    1.346397232
       1      36    2.703746606    2.420152496
       1      37    4.995380806    5.884079413
       1      38    5.275065381    6.413361781
  0.083333333  0.333333333  0.000000000       4
       1      35    2.090488308    1.849153977
       1      36    2.926594677    2.394578485
       1      37    5.233921923    6.335938237
       1      38    5.463779939    6.846052648
  0.083333333  0.416666667  0.000000000       4
       1      35    2.283541646    2.035571006
       1      36    3.119263465    2.525885718
       1      37    5.505787703    6.988397537
       1      38    5.579148231    7.163799635
  0.083333333  0.500000000  0.000000000       4
       1      35    2.283541851    2.035590173
       1      36    3.119263651    2.525905596
       1      37    5.505787585    6.988423336
       1      38    5.579148195    7.163796362
  0.083333333  0.583333333  0.000000000       4
       1      35    2.090488510    1.849174115
       1      36    2.926595057    2.394594200
       1      37    5.233921440    6.336003332
       1      38    5.463779781    6.846077475
  0.083333333  0.666666667  0.000000000       4
       1      35    2.178451268    1.346377379
       1      36    2.703747067    2.420151513
       1      37    4.995380276    5.884111881
       1      38    5.275065020    6.413379737
  0.083333333  0.750000000  0.000000000       4
       1      35    2.558350251    1.762349455
       1      36    2.738292453    2.606706846
       1      37    5.080109328    5.846168735
       1      38    5.332840734    6.296865926
  0.166666667  0.166666667  0.000000000       4
       1      35    2.418049319    1.200001045
       1      36    2.741217414    2.588294367
       1      37    4.867154406    5.667257220
       1      38    5.166745244    6.202194525
  0.166666667  0.250000000  0.000000000       4
       1      35    2.142212762    2.068282690
       1      36    2.894511172    2.646275565
       1      37    4.968857847    5.889625743
       1      38    5.372591835    6.486657464
  0.166666667  0.333333333  0.000000000       4
       1      35    2.351103907    2.373018365
       1      36    3.103385073    2.868121507
       1      37    5.291126496    6.503151328
       1      38    5.498117517    6.830592705
  0.166666667  0.416666667  0.000000000       4
       1      35    2.521113732    2.533192724
       1      36    3.248884979    3.011867757
       1      37    5.275945756    6.894089295
       1      38    5.479607585    6.797926881
  0.166666667  0.500000000  0.000000000       4
       1      35    2.351104257    2.373046367
       1      36    3.103385145    2.868131729
       1      37    5.291126166    6.503196727
       1      38    5.498117383    6.830600839
  0.166666667  0.583333333  0.000000000       4
       1      35    2.142213008    2.068303840
       1      36    2.894511234    2.646280832
       1      37    4.968857426    5.889677572
       1      38    5.372591690    6.486706295
  0.250000000  0.250000000  0.000000000       4
       1      35    2.362914489    2.478594916
       1      36    3.070809143    2.969716103
       1      37    5.179082586    6.276902379
       1      38    5.442298572    6.659415133
  0.250000000  0.333333333  0.000000000       4
       1      35    2.697269591    2.872991274
       1      36    3.323041549    3.300201121
       1      37    4.921948399    6.398937939
       1      38    5.323553703    6.564613964
  0.250000000  0.416666667  0.000000000       4
       1      35    2.697269560    2.873004012
       1      36    3.323041345    3.300201765
       1      37    4.921948349    6.398930444
       1      38    5.323553747    6.564619871
  0.333333333  0.333333333  0.000000000       4
       1      35    2.948689888    3.196899634
       1      36    3.472678116    3.530347111
       1      37    4.559945254    5.978667564
       1      38    5.185294154    6.469981882
