# k =   0.000000   0.000000   0.000000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -1.05830933E+01  -1.02572254E+01   3.25867860E-01
# Error est. for CH(vbm) CH(cbm) diff =   7.95308758E-01   8.95153800E-01   9.98450412E-02
#    Nb          CH(vbm)          CH(cbm)             diff
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -1.05672877E+01  -1.06628302E+01  -9.55425176E-02
# Error est. for CH(vbm) CH(cbm) diff =   8.42621993E-01   8.93090287E-01   5.04682940E-02
#    Nb          CH(vbm)          CH(cbm)             diff
      1  -7.41989602E-06  -4.70874986E-03  -4.70132997E-03
      2  -6.67222913E-02  -1.12542085E-01  -4.58197937E-02
      3  -1.09801839E-01  -1.19894458E-01  -1.00926190E-02
      4  -1.31729788E-01  -1.25412557E-01   6.31723080E-03
      5  -1.92522343E-01  -1.31510868E-01   6.10114745E-02
      6  -2.19189585E-01  -1.37119435E-01   8.20701496E-02
      7  -2.32050537E-01  -1.41620540E-01   9.04299970E-02
      8  -2.42476931E-01  -1.47061387E-01   9.54155445E-02
      9  -2.65094897E-01  -1.50635559E-01   1.14459339E-01
     10  -2.84831213E-01  -1.55096537E-01   1.29734676E-01
     11  -2.96970551E-01  -1.60169695E-01   1.36800856E-01
     12  -3.12476398E-01  -1.65150862E-01   1.47325536E-01
     13  -3.12817303E-01  -2.48311183E-01   6.45061200E-02
     14  -3.13001959E-01  -3.64413491E-01  -5.14115319E-02
     15  -3.13138414E-01  -4.70793660E-01  -1.57655246E-01
     16  -6.26184258E-01  -9.34324277E-01  -3.08140019E-01
     17  -8.72745934E-01  -1.43191899E+00  -5.59173052E-01
     18  -1.47014394E+00  -1.88075288E+00  -4.10608937E-01
     19  -1.47156852E+00  -1.91979117E+00  -4.48222649E-01
     20  -1.63234607E+00  -1.98232364E+00  -3.49977575E-01
     21  -1.93674539E+00  -2.05827834E+00  -1.21532944E-01
     22  -2.25814943E+00  -2.14235007E+00   1.15799360E-01
     23  -2.26072196E+00  -2.21928415E+00   4.14378106E-02
     24  -2.41467101E+00  -2.35445046E+00   6.02205480E-02
     25  -2.64305264E+00  -2.47696161E+00   1.66091021E-01
     26  -2.81539358E+00  -2.57977712E+00   2.35616467E-01
     27  -3.03260712E+00  -2.69325815E+00   3.39348965E-01
     28  -3.17721699E+00  -2.78792873E+00   3.89288255E-01
     29  -3.35603872E+00  -2.91459873E+00   4.41439990E-01
     30  -3.62406431E+00  -2.99921547E+00   6.24848833E-01
     31  -3.84253463E+00  -3.08564863E+00   7.56886000E-01
     32  -4.11719312E+00  -3.18571193E+00   9.31481182E-01
     33  -4.52555293E+00  -3.31109310E+00   1.21445983E+00
     34  -4.86933137E+00  -3.47675223E+00   1.39257913E+00
     35  -5.11802488E+00  -3.74697435E+00   1.37105054E+00
     36  -6.59524976E+00  -4.20518524E+00   2.39006452E+00
     37  -6.74573092E+00  -5.56057245E+00   1.18515847E+00
     38  -6.89639733E+00  -6.06370203E+00   8.32695300E-01
     39  -7.05427531E+00  -6.68356383E+00   3.70711481E-01
     40  -7.25733705E+00  -7.24977994E+00   7.55710423E-03
     41  -7.35787704E+00  -7.37802178E+00  -2.01447332E-02
     42  -7.46345269E+00  -7.52946369E+00  -6.60109968E-02
     43  -7.54954179E+00  -7.59534763E+00  -4.58058438E-02
     44  -7.68173330E+00  -7.64707611E+00   3.46571963E-02
     45  -7.69512225E+00  -7.70786521E+00  -1.27429604E-02
     46  -7.74895796E+00  -7.78679596E+00  -3.78380024E-02
     47  -7.76626631E+00  -7.83345232E+00  -6.71860049E-02
     48  -7.79938211E+00  -7.88850834E+00  -8.91262305E-02
     49  -7.84130946E+00  -7.95479457E+00  -1.13485106E-01
     50  -7.86758822E+00  -7.99165722E+00  -1.24069001E-01
     51  -7.89132808E+00  -8.02413978E+00  -1.32811700E-01
     52  -7.91938006E+00  -8.06507474E+00  -1.45694677E-01
     53  -7.95003590E+00  -8.10112961E+00  -1.51093708E-01
     54  -7.98751813E+00  -8.14171927E+00  -1.54201141E-01
     55  -8.03411709E+00  -8.18887582E+00  -1.54758726E-01
     56  -8.06792754E+00  -8.22926318E+00  -1.61335631E-01
     57  -8.08837811E+00  -8.25966893E+00  -1.71290823E-01
     58  -8.11793861E+00  -8.29523835E+00  -1.77299745E-01
     59  -8.15227618E+00  -8.33393011E+00  -1.81653940E-01
     60  -8.19071497E+00  -8.36569778E+00  -1.74982814E-01
     61  -8.21873178E+00  -8.39688785E+00  -1.78156070E-01
     62  -8.26153882E+00  -8.42835289E+00  -1.66814073E-01
     63  -8.28873237E+00  -8.45857025E+00  -1.69837880E-01
     64  -8.32984417E+00  -8.49129741E+00  -1.61453241E-01
     65  -8.35625754E+00  -8.51672866E+00  -1.60471122E-01
     66  -8.38573056E+00  -8.53733370E+00  -1.51603146E-01
     67  -8.41473394E+00  -8.55954617E+00  -1.44812234E-01
     68  -8.43289533E+00  -8.57895739E+00  -1.46062061E-01
     69  -8.45277554E+00  -8.59903056E+00  -1.46255016E-01
     70  -8.47957219E+00  -8.61728565E+00  -1.37713465E-01
     71  -8.50721581E+00  -8.63616258E+00  -1.28946771E-01
     72  -8.53968041E+00  -8.65679916E+00  -1.17118744E-01
     73  -8.55873807E+00  -8.67249782E+00  -1.13759754E-01
     74  -8.58135347E+00  -8.68893407E+00  -1.07580602E-01
     75  -8.60632530E+00  -8.70651139E+00  -1.00186087E-01
     76  -8.63026906E+00  -8.72263399E+00  -9.23649311E-02
     77  -8.65090154E+00  -8.73923561E+00  -8.83340617E-02
     78  -8.66714230E+00  -8.75551887E+00  -8.83765784E-02
     79  -8.68618368E+00  -8.76981935E+00  -8.36356675E-02
     80  -8.70453167E+00  -8.78728228E+00  -8.27506035E-02
     81  -8.72000441E+00  -8.80128077E+00  -8.12763631E-02
     82  -8.73305977E+00  -8.81511896E+00  -8.20591909E-02
     83  -8.74766813E+00  -8.82806143E+00  -8.03932950E-02
     84  -8.76623041E+00  -8.84374793E+00  -7.75175252E-02
     85  -8.78361115E+00  -8.85760833E+00  -7.39971757E-02
     86  -8.80077954E+00  -8.87226624E+00  -7.14867079E-02
     87  -8.81933701E+00  -8.88569435E+00  -6.63573451E-02
     88  -8.83462748E+00  -8.89865805E+00  -6.40305735E-02
     89  -8.84885231E+00  -8.91188373E+00  -6.30314251E-02
     90  -8.86443064E+00  -8.92398303E+00  -5.95523875E-02
     91  -8.87900035E+00  -8.93641739E+00  -5.74170430E-02
     92  -8.89513142E+00  -8.95091655E+00  -5.57851266E-02
     93  -8.90956411E+00  -8.96471214E+00  -5.51480246E-02
     94  -8.92687288E+00  -8.97699031E+00  -5.01174290E-02
     95  -8.93967329E+00  -8.98837680E+00  -4.87035052E-02
     96  -8.95485071E+00  -9.00102064E+00  -4.61699220E-02
     97  -8.96987866E+00  -9.01451384E+00  -4.46351845E-02
     98  -8.98268847E+00  -9.02624342E+00  -4.35549503E-02
     99  -8.99417318E+00  -9.03906442E+00  -4.48912431E-02
    100  -9.00599033E+00  -9.05203370E+00  -4.60433714E-02
    101  -9.01606373E+00  -9.06416301E+00  -4.80992736E-02
    102  -9.02764037E+00  -9.07674831E+00  -4.91079447E-02
    103  -9.03851530E+00  -9.08787245E+00  -4.93571479E-02
    104  -9.05201114E+00  -9.10007492E+00  -4.80637827E-02
    105  -9.06268315E+00  -9.10979610E+00  -4.71129492E-02
    106  -9.07385498E+00  -9.12110391E+00  -4.72489364E-02
    107  -9.08625479E+00  -9.13177262E+00  -4.55178238E-02
    108  -9.09732921E+00  -9.14152758E+00  -4.41983749E-02
    109  -9.11151977E+00  -9.15285298E+00  -4.13332101E-02
    110  -9.12255439E+00  -9.16286670E+00  -4.03123131E-02
    111  -9.13651438E+00  -9.17304058E+00  -3.65261979E-02
    112  -9.14669454E+00  -9.18266170E+00  -3.59671551E-02
    113  -9.15598612E+00  -9.19225964E+00  -3.62735258E-02
    114  -9.16575936E+00  -9.20163092E+00  -3.58715589E-02
    115  -9.17422558E+00  -9.21059754E+00  -3.63719644E-02
    116  -9.18398505E+00  -9.21993085E+00  -3.59458020E-02
    117  -9.19179412E+00  -9.22865523E+00  -3.68611075E-02
    118  -9.20036081E+00  -9.23697602E+00  -3.66152057E-02
    119  -9.20995869E+00  -9.24563494E+00  -3.56762563E-02
    120  -9.21847743E+00  -9.25480949E+00  -3.63320595E-02
    121  -9.22872762E+00  -9.26451292E+00  -3.57852934E-02
    122  -9.23884246E+00  -9.27484461E+00  -3.60021433E-02
    123  -9.24848579E+00  -9.28413365E+00  -3.56478672E-02
    124  -9.25806562E+00  -9.29306155E+00  -3.49959251E-02
    125  -9.26755965E+00  -9.30076471E+00  -3.32050560E-02
    126  -9.27655675E+00  -9.30878821E+00  -3.22314550E-02
    127  -9.28827477E+00  -9.31796453E+00  -2.96897658E-02
    128  -9.29731313E+00  -9.32680442E+00  -2.94912900E-02
    129  -9.30549050E+00  -9.33468650E+00  -2.91960007E-02
    130  -9.31345178E+00  -9.34293896E+00  -2.94871719E-02
    131  -9.32009219E+00  -9.35068143E+00  -3.05892436E-02
    132  -9.32866359E+00  -9.35926659E+00  -3.06030014E-02
    133  -9.33652808E+00  -9.36692342E+00  -3.03953462E-02
    134  -9.34404645E+00  -9.37490211E+00  -3.08556554E-02
    135  -9.35154776E+00  -9.38169881E+00  -3.01510507E-02
    136  -9.36000621E+00  -9.38931795E+00  -2.93117381E-02
    137  -9.36770560E+00  -9.39646834E+00  -2.87627460E-02
    138  -9.37541093E+00  -9.40395961E+00  -2.85486787E-02
    139  -9.38302580E+00  -9.41216621E+00  -2.91404123E-02
    140  -9.38986937E+00  -9.41910724E+00  -2.92378662E-02
    141  -9.39753567E+00  -9.42722610E+00  -2.96904336E-02
    142  -9.40419021E+00  -9.43433627E+00  -3.01460547E-02
    143  -9.41228147E+00  -9.44222273E+00  -2.99412684E-02
    144  -9.41962583E+00  -9.44930409E+00  -2.96782593E-02
    145  -9.42777006E+00  -9.45722756E+00  -2.94574993E-02
    146  -9.43425338E+00  -9.46375187E+00  -2.94984854E-02
    147  -9.44082317E+00  -9.47074351E+00  -2.99203410E-02
    148  -9.44760208E+00  -9.47772852E+00  -3.01264386E-02
    149  -9.45539206E+00  -9.48489768E+00  -2.95056220E-02
    150  -9.46212028E+00  -9.49102214E+00  -2.89018601E-02
    151  -9.46797610E+00  -9.49740686E+00  -2.94307622E-02
    152  -9.47371593E+00  -9.50446524E+00  -3.07493059E-02
    153  -9.48017837E+00  -9.51109520E+00  -3.09168245E-02
    154  -9.48598868E+00  -9.51749972E+00  -3.15110427E-02
    155  -9.49145322E+00  -9.52403530E+00  -3.25820817E-02
    156  -9.49758286E+00  -9.53043879E+00  -3.28559347E-02
    157  -9.50421767E+00  -9.53691390E+00  -3.26962255E-02
    158  -9.51017466E+00  -9.54346418E+00  -3.32895128E-02
    159  -9.51621797E+00  -9.55038606E+00  -3.41680855E-02
    160  -9.52202047E+00  -9.55655166E+00  -3.45311905E-02
    161  -9.52734000E+00  -9.56289128E+00  -3.55512813E-02
    162  -9.53440696E+00  -9.56960596E+00  -3.51989930E-02
    163  -9.54013282E+00  -9.57647184E+00  -3.63390221E-02
    164  -9.54622338E+00  -9.58286932E+00  -3.66459417E-02
    165  -9.55187863E+00  -9.58934552E+00  -3.74668917E-02
    166  -9.56051084E+00  -9.59651377E+00  -3.60029279E-02
    167  -9.56589507E+00  -9.60280752E+00  -3.69124557E-02
    168  -9.57123573E+00  -9.60863256E+00  -3.73968347E-02
    169  -9.57725414E+00  -9.61456880E+00  -3.73146578E-02
    170  -9.58239518E+00  -9.61987874E+00  -3.74835616E-02
    171  -9.58776838E+00  -9.62554187E+00  -3.77734930E-02
    172  -9.59282262E+00  -9.63109797E+00  -3.82753528E-02
    173  -9.59834842E+00  -9.63660388E+00  -3.82554585E-02
    174  -9.60405159E+00  -9.64265165E+00  -3.86000559E-02
    175  -9.60895693E+00  -9.64821842E+00  -3.92614871E-02
    176  -9.61457640E+00  -9.65376526E+00  -3.91888553E-02
    177  -9.61950603E+00  -9.65889505E+00  -3.93890174E-02
    178  -9.62557819E+00  -9.66489631E+00  -3.93181165E-02
    179  -9.63075914E+00  -9.67036472E+00  -3.96055801E-02
    180  -9.63572226E+00  -9.67546928E+00  -3.97470149E-02
    181  -9.64159710E+00  -9.68113132E+00  -3.95342293E-02
    182  -9.64661328E+00  -9.68692427E+00  -4.03109947E-02
    183  -9.65180313E+00  -9.69219907E+00  -4.03959437E-02
    184  -9.65681375E+00  -9.69793268E+00  -4.11189395E-02
    185  -9.66239475E+00  -9.70352823E+00  -4.11334731E-02
    186  -9.66804702E+00  -9.70888529E+00  -4.08382704E-02
    187  -9.67291294E+00  -9.71365846E+00  -4.07455184E-02
    188  -9.67711290E+00  -9.71798288E+00  -4.08699772E-02
    189  -9.68208531E+00  -9.72289435E+00  -4.08090352E-02
    190  -9.68647860E+00  -9.72767415E+00  -4.11955550E-02
    191  -9.69037706E+00  -9.73226837E+00  -4.18913065E-02
    192  -9.69490237E+00  -9.73703263E+00  -4.21302610E-02
    193  -9.69863783E+00  -9.74195777E+00  -4.33199380E-02
    194  -9.70293946E+00  -9.74700509E+00  -4.40656292E-02
    195  -9.70778964E+00  -9.75213903E+00  -4.43493973E-02
    196  -9.71246587E+00  -9.75692187E+00  -4.44559927E-02
    197  -9.71677183E+00  -9.76112197E+00  -4.43501349E-02
    198  -9.72089670E+00  -9.76552276E+00  -4.46260589E-02
    199  -9.72466570E+00  -9.76973992E+00  -4.50742237E-02
# k =   0.000000   0.500000   0.000000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -9.90326193E+00  -1.20429946E+01  -2.13973270E+00
# Error est. for CH(vbm) CH(cbm) diff =   8.02930880E-01   1.10937912E+00   3.06448244E-01
#    Nb          CH(vbm)          CH(cbm)             diff
      1  -2.09468894E-05  -3.75767742E-03  -3.73673053E-03
      2  -2.84060102E-02  -1.32125562E-01  -1.03719552E-01
      3  -9.91746170E-02  -1.34034386E-01  -3.48597694E-02
      4  -1.34013826E-01  -1.36049782E-01  -2.03595576E-03
      5  -2.26752909E-01  -1.38415772E-01   8.83371372E-02
      6  -2.60435836E-01  -1.40429170E-01   1.20006666E-01
      7  -2.86038768E-01  -1.41281669E-01   1.44757099E-01
      8  -3.09456140E-01  -1.42198187E-01   1.67257953E-01
      9  -3.47011413E-01  -1.43236935E-01   2.03774478E-01
     10  -3.78739081E-01  -1.44003129E-01   2.34735952E-01
     11  -3.99509099E-01  -1.44588770E-01   2.54920329E-01
     12  -4.20275512E-01  -1.45131370E-01   2.75144142E-01
     13  -4.20738881E-01  -3.67904835E-01   5.28340452E-02
     14  -4.21001514E-01  -4.00092816E-01   2.09086975E-02
     15  -4.21217948E-01  -4.23101879E-01  -1.88393019E-03
     16  -5.19764871E-01  -1.14737252E+00  -6.27607652E-01
     17  -6.21221974E-01  -1.71566605E+00  -1.09444407E+00
     18  -8.13581120E-01  -2.59851340E+00  -1.78493228E+00
     19  -8.15848095E-01  -2.61081237E+00  -1.79496427E+00
     20  -1.01790978E+00  -2.62793250E+00  -1.61002273E+00
     21  -1.41212276E+00  -2.65701705E+00  -1.24489428E+00
     22  -1.84823353E+00  -2.68257703E+00  -8.34343503E-01
     23  -1.85051710E+00  -2.72867966E+00  -8.78162562E-01
     24  -1.99176351E+00  -2.81163974E+00  -8.19876232E-01
     25  -2.21806776E+00  -2.93881469E+00  -7.20746933E-01
     26  -2.42843415E+00  -3.00422981E+00  -5.75795656E-01
     27  -2.63418989E+00  -3.10786809E+00  -4.73678206E-01
     28  -2.74700785E+00  -3.19891291E+00  -4.51905062E-01
     29  -2.89535179E+00  -3.36012138E+00  -4.64769590E-01
     30  -3.21328251E+00  -3.50551074E+00  -2.92228230E-01
     31  -3.43883521E+00  -3.63122128E+00  -1.92386063E-01
     32  -3.66622225E+00  -3.76440651E+00  -9.81842559E-02
     33  -4.02386278E+00  -3.92977214E+00   9.40906402E-02
     34  -4.43868369E+00  -4.05765504E+00   3.81028646E-01
     35  -4.58475338E+00  -4.26409242E+00   3.20660959E-01
     36  -6.09249960E+00  -4.98035106E+00   1.11214855E+00
     37  -6.16682651E+00  -6.15013910E+00   1.66874048E-02
     38  -6.24755900E+00  -6.99181500E+00  -7.44255998E-01
     39  -6.34789839E+00  -7.72223315E+00  -1.37433476E+00
     40  -6.47017329E+00  -8.47624652E+00  -2.00607323E+00
     41  -6.57408505E+00  -8.66065611E+00  -2.08657105E+00
     42  -6.68397191E+00  -8.85446099E+00  -2.17048909E+00
     43  -6.80469263E+00  -8.91105516E+00  -2.10636252E+00
     44  -6.95647551E+00  -8.94747685E+00  -1.99100134E+00
     45  -6.96856117E+00  -8.97933738E+00  -2.01077621E+00
     46  -7.01370178E+00  -9.07573463E+00  -2.06203284E+00
     47  -7.02993088E+00  -9.10564717E+00  -2.07571629E+00
     48  -7.06096156E+00  -9.14616338E+00  -2.08520182E+00
     49  -7.10477028E+00  -9.17628421E+00  -2.07151392E+00
     50  -7.13339550E+00  -9.20375429E+00  -2.07035880E+00
     51  -7.15812662E+00  -9.22678779E+00  -2.06866117E+00
     52  -7.18741909E+00  -9.26073624E+00  -2.07331716E+00
     53  -7.21832505E+00  -9.29026315E+00  -2.07193810E+00
     54  -7.25900254E+00  -9.32299865E+00  -2.06399611E+00
     55  -7.30810703E+00  -9.36310117E+00  -2.05499414E+00
     56  -7.34394797E+00  -9.39408931E+00  -2.05014134E+00
     57  -7.36789657E+00  -9.41376275E+00  -2.04586618E+00
     58  -7.40240004E+00  -9.44211173E+00  -2.03971169E+00
     59  -7.44315497E+00  -9.47937414E+00  -2.03621917E+00
     60  -7.48510548E+00  -9.51452065E+00  -2.02941518E+00
     61  -7.51733246E+00  -9.53885999E+00  -2.02152753E+00
     62  -7.55862390E+00  -9.57853520E+00  -2.01991130E+00
     63  -7.58873302E+00  -9.59708764E+00  -2.00835462E+00
     64  -7.63596077E+00  -9.62273366E+00  -1.98677289E+00
     65  -7.66627522E+00  -9.64314505E+00  -1.97686983E+00
     66  -7.70213985E+00  -9.66164347E+00  -1.95950362E+00
     67  -7.73600061E+00  -9.68410663E+00  -1.94810603E+00
     68  -7.75627472E+00  -9.69953033E+00  -1.94325561E+00
     69  -7.77871447E+00  -9.71763075E+00  -1.93891628E+00
     70  -7.81031842E+00  -9.73476393E+00  -1.92444551E+00
     71  -7.84281887E+00  -9.75081163E+00  -1.90799275E+00
     72  -7.88049476E+00  -9.77606424E+00  -1.89556948E+00
     73  -7.90240691E+00  -9.78787013E+00  -1.88546322E+00
     74  -7.92911353E+00  -9.80053655E+00  -1.87142302E+00
     75  -7.95840198E+00  -9.81320224E+00  -1.85480026E+00
     76  -7.98666308E+00  -9.82868402E+00  -1.84202093E+00
     77  -8.01036922E+00  -9.84178954E+00  -1.83142032E+00
     78  -8.02706599E+00  -9.85350997E+00  -1.82644397E+00
     79  -8.04914204E+00  -9.86418939E+00  -1.81504736E+00
     80  -8.06867096E+00  -9.87752831E+00  -1.80885735E+00
     81  -8.08589371E+00  -9.88764327E+00  -1.80174956E+00
     82  -8.09990202E+00  -9.89690201E+00  -1.79699999E+00
     83  -8.11669337E+00  -9.90570574E+00  -1.78901237E+00
     84  -8.13587040E+00  -9.92117136E+00  -1.78530096E+00
     85  -8.15517421E+00  -9.93338990E+00  -1.77821569E+00
     86  -8.17253118E+00  -9.95031933E+00  -1.77778815E+00
     87  -8.19380693E+00  -9.96323289E+00  -1.76942596E+00
     88  -8.21092870E+00  -9.97378742E+00  -1.76285873E+00
     89  -8.22548275E+00  -9.98712762E+00  -1.76164487E+00
     90  -8.24263313E+00  -9.99847453E+00  -1.75584139E+00
     91  -8.25792233E+00  -1.00108700E+01  -1.75294767E+00
     92  -8.27463145E+00  -1.00256309E+01  -1.75099941E+00
     93  -8.29007597E+00  -1.00384938E+01  -1.74841786E+00
     94  -8.30778936E+00  -1.00524852E+01  -1.74469582E+00
     95  -8.32111579E+00  -1.00651512E+01  -1.74403538E+00
     96  -8.33707806E+00  -1.00790745E+01  -1.74199647E+00
     97  -8.35214031E+00  -1.00927431E+01  -1.74060282E+00
     98  -8.36545051E+00  -1.01052241E+01  -1.73977354E+00
     99  -8.37731461E+00  -1.01165351E+01  -1.73922049E+00
    100  -8.38941521E+00  -1.01293039E+01  -1.73988872E+00
    101  -8.39969636E+00  -1.01389295E+01  -1.73923315E+00
    102  -8.41187957E+00  -1.01495465E+01  -1.73766690E+00
    103  -8.42224449E+00  -1.01609102E+01  -1.73866571E+00
    104  -8.43675592E+00  -1.01734675E+01  -1.73671161E+00
    105  -8.44748893E+00  -1.01838904E+01  -1.73640143E+00
    106  -8.45897231E+00  -1.01935536E+01  -1.73458129E+00
    107  -8.47213945E+00  -1.02042469E+01  -1.73210748E+00
    108  -8.48382228E+00  -1.02143123E+01  -1.73049001E+00
    109  -8.49875424E+00  -1.02272096E+01  -1.72845536E+00
    110  -8.51017391E+00  -1.02369966E+01  -1.72682267E+00
    111  -8.52509021E+00  -1.02483825E+01  -1.72329233E+00
    112  -8.53547026E+00  -1.02586017E+01  -1.72313141E+00
    113  -8.54487120E+00  -1.02680355E+01  -1.72316430E+00
    114  -8.55470768E+00  -1.02775473E+01  -1.72283962E+00
    115  -8.56359469E+00  -1.02853286E+01  -1.72173390E+00
    116  -8.57343075E+00  -1.02945116E+01  -1.72108084E+00
    117  -8.58115624E+00  -1.03026098E+01  -1.72145357E+00
    118  -8.58964446E+00  -1.03113108E+01  -1.72166630E+00
    119  -8.59931300E+00  -1.03214408E+01  -1.72212783E+00
    120  -8.60803648E+00  -1.03303164E+01  -1.72227987E+00
    121  -8.61832643E+00  -1.03409049E+01  -1.72257845E+00
    122  -8.62857833E+00  -1.03512358E+01  -1.72265742E+00
    123  -8.63847581E+00  -1.03609299E+01  -1.72245412E+00
    124  -8.64748404E+00  -1.03715699E+01  -1.72408587E+00
    125  -8.65753734E+00  -1.03810134E+01  -1.72347610E+00
    126  -8.66725019E+00  -1.03881718E+01  -1.72092162E+00
    127  -8.67855120E+00  -1.04014519E+01  -1.72290068E+00
    128  -8.68780087E+00  -1.04103922E+01  -1.72259131E+00
    129  -8.69649247E+00  -1.04184128E+01  -1.72192033E+00
    130  -8.70443195E+00  -1.04278457E+01  -1.72341379E+00
    131  -8.71125438E+00  -1.04355354E+01  -1.72428097E+00
    132  -8.71945941E+00  -1.04459321E+01  -1.72647271E+00
    133  -8.72736711E+00  -1.04541976E+01  -1.72683045E+00
    134  -8.73475032E+00  -1.04633610E+01  -1.72861071E+00
    135  -8.74237384E+00  -1.04711542E+01  -1.72878041E+00
    136  -8.75064698E+00  -1.04797018E+01  -1.72905479E+00
    137  -8.75811717E+00  -1.04878833E+01  -1.72976609E+00
    138  -8.76603624E+00  -1.04959493E+01  -1.72991310E+00
    139  -8.77352539E+00  -1.05051699E+01  -1.73164449E+00
    140  -8.78049984E+00  -1.05123277E+01  -1.73182784E+00
    141  -8.78766514E+00  -1.05218375E+01  -1.73417234E+00
    142  -8.79419863E+00  -1.05297138E+01  -1.73551521E+00
    143  -8.80185745E+00  -1.05391703E+01  -1.73731284E+00
    144  -8.80887641E+00  -1.05475989E+01  -1.73872246E+00
    145  -8.81645916E+00  -1.05577710E+01  -1.74131182E+00
    146  -8.82292767E+00  -1.05650566E+01  -1.74212894E+00
    147  -8.82925508E+00  -1.05733331E+01  -1.74407798E+00
    148  -8.83585302E+00  -1.05813615E+01  -1.74550844E+00
    149  -8.84303401E+00  -1.05914476E+01  -1.74841356E+00
    150  -8.84996333E+00  -1.05981380E+01  -1.74817466E+00
    151  -8.85535735E+00  -1.06058804E+01  -1.75052309E+00
    152  -8.86088688E+00  -1.06134842E+01  -1.75259727E+00
    153  -8.86692083E+00  -1.06212378E+01  -1.75431696E+00
    154  -8.87237900E+00  -1.06286113E+01  -1.75623230E+00
    155  -8.87772097E+00  -1.06349782E+01  -1.75725722E+00
    156  -8.88388233E+00  -1.06424090E+01  -1.75852668E+00
    157  -8.89008028E+00  -1.06503332E+01  -1.76025292E+00
    158  -8.89592949E+00  -1.06573874E+01  -1.76145796E+00
    159  -8.90196887E+00  -1.06639572E+01  -1.76198828E+00
    160  -8.90754069E+00  -1.06709824E+01  -1.76344170E+00
    161  -8.91253468E+00  -1.06779387E+01  -1.76540406E+00
    162  -8.91917084E+00  -1.06869553E+01  -1.76778449E+00
    163  -8.92494440E+00  -1.06935521E+01  -1.76860774E+00
    164  -8.93112103E+00  -1.06998617E+01  -1.76874064E+00
    165  -8.93640267E+00  -1.07073008E+01  -1.77089817E+00
    166  -8.94332075E+00  -1.07215971E+01  -1.77827636E+00
    167  -8.94822701E+00  -1.07290516E+01  -1.78082458E+00
    168  -8.95369978E+00  -1.07346979E+01  -1.78099813E+00
    169  -8.95950665E+00  -1.07418805E+01  -1.78237384E+00
    170  -8.96454318E+00  -1.07476589E+01  -1.78311571E+00
    171  -8.96977974E+00  -1.07541644E+01  -1.78438466E+00
    172  -8.97460062E+00  -1.07603611E+01  -1.78576050E+00
    173  -8.97990169E+00  -1.07676862E+01  -1.78778449E+00
    174  -8.98524886E+00  -1.07749091E+01  -1.78966021E+00
    175  -8.99008336E+00  -1.07807478E+01  -1.79066447E+00
    176  -8.99545969E+00  -1.07888463E+01  -1.79338661E+00
    177  -9.00029922E+00  -1.07948014E+01  -1.79450214E+00
    178  -9.00565010E+00  -1.08036312E+01  -1.79798111E+00
    179  -9.01079415E+00  -1.08101855E+01  -1.79939133E+00
    180  -9.01557724E+00  -1.08165144E+01  -1.80093714E+00
    181  -9.02071397E+00  -1.08253675E+01  -1.80465355E+00
    182  -9.02539617E+00  -1.08322024E+01  -1.80680618E+00
    183  -9.03035610E+00  -1.08390581E+01  -1.80870196E+00
    184  -9.03490573E+00  -1.08462566E+01  -1.81135086E+00
    185  -9.04011887E+00  -1.08532315E+01  -1.81311259E+00
    186  -9.04542703E+00  -1.08605372E+01  -1.81511022E+00
    187  -9.05015974E+00  -1.08669774E+01  -1.81681768E+00
    188  -9.05429014E+00  -1.08721692E+01  -1.81787910E+00
    189  -9.05886863E+00  -1.08791767E+01  -1.82030805E+00
    190  -9.06320659E+00  -1.08848840E+01  -1.82167737E+00
    191  -9.06707129E+00  -1.08898923E+01  -1.82282097E+00
    192  -9.07161040E+00  -1.08952435E+01  -1.82363306E+00
    193  -9.07535740E+00  -1.08999793E+01  -1.82462191E+00
    194  -9.07946309E+00  -1.09060012E+01  -1.82653810E+00
    195  -9.08412719E+00  -1.09121973E+01  -1.82807010E+00
    196  -9.08833740E+00  -1.09186261E+01  -1.83028870E+00
    197  -9.09257674E+00  -1.09237655E+01  -1.83118876E+00
    198  -9.09658079E+00  -1.09290518E+01  -1.83247104E+00
    199  -9.10033105E+00  -1.09336155E+01  -1.83328445E+00
# k =   0.000000   0.666667   0.000000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -1.05672956E+01  -1.06628357E+01  -9.55401578E-02
