# k =   0.000000   0.000000   0.000000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -1.05830933E+01  -1.02572254E+01   3.25867860E-01
# Error est. for CH(vbm) CH(cbm) diff =   7.95308758E-01   8.95153800E-01   9.98450412E-02
#    Nb          CH(vbm)          CH(cbm)             diff
     93  -8.99366649E+00  -8.47528688E+00   5.18379610E-01
     94  -9.00522089E+00  -8.48650897E+00   5.18711915E-01
     95  -9.01714722E+00  -8.49901827E+00   5.18128945E-01
     96  -9.03087651E+00  -8.51503814E+00   5.15838372E-01
     97  -9.04443042E+00  -8.52646579E+00   5.17964627E-01
     98  -9.05747340E+00  -8.53942914E+00   5.18044262E-01
     99  -9.07278715E+00  -8.55458057E+00   5.18206575E-01
    100  -9.08740453E+00  -8.57013263E+00   5.17271903E-01
    101  -9.10244958E+00  -8.58665059E+00   5.15798988E-01
    102  -9.11909770E+00  -8.60443793E+00   5.14659767E-01
    103  -9.13308482E+00  -8.61828223E+00   5.14802586E-01
    104  -9.14474978E+00  -8.63122121E+00   5.13528573E-01
    105  -9.15652567E+00  -8.64738085E+00   5.09144816E-01
    106  -9.16948215E+00  -8.66398803E+00   5.05494118E-01
    107  -9.18117015E+00  -8.67814992E+00   5.03020224E-01
    108  -9.19110977E+00  -8.69382945E+00   4.97280321E-01
    109  -9.20135451E+00  -8.70430248E+00   4.97052023E-01
    110  -9.21256715E+00  -8.71504942E+00   4.97517736E-01
    111  -9.22151618E+00  -8.72469741E+00   4.96818772E-01
    112  -9.23072225E+00  -8.73496152E+00   4.95760724E-01
    113  -9.23976093E+00  -8.74671214E+00   4.93048798E-01
    114  -9.24823652E+00  -8.75715349E+00   4.91083035E-01
    115  -9.25697490E+00  -8.77136164E+00   4.85613259E-01
    116  -9.26589467E+00  -8.78086074E+00   4.85033929E-01
    117  -9.27550593E+00  -8.79123456E+00   4.84271362E-01
    118  -9.28484484E+00  -8.80290925E+00   4.81935599E-01
    119  -9.29381726E+00  -8.81427446E+00   4.79542799E-01
    120  -9.30420725E+00  -8.82722485E+00   4.76982403E-01
    121  -9.31455473E+00  -8.83964959E+00   4.74905136E-01
    122  -9.32506634E+00  -8.85044797E+00   4.74618372E-01
    123  -9.33458051E+00  -8.86210719E+00   4.72473322E-01
    124  -9.34334383E+00  -8.87305505E+00   4.70288774E-01
    125  -9.35060385E+00  -8.88331205E+00   4.67291800E-01
    126  -9.36030384E+00  -8.89503439E+00   4.65269454E-01
    127  -9.36783739E+00  -8.90555410E+00   4.62283292E-01
    128  -9.37748804E+00  -8.91481227E+00   4.62675768E-01
    129  -9.38627096E+00  -8.92447972E+00   4.61791244E-01
    130  -9.39465625E+00  -8.93378823E+00   4.60868022E-01
    131  -9.40321150E+00  -8.94361101E+00   4.59600491E-01
    132  -9.41092890E+00  -8.95377963E+00   4.57149278E-01
    133  -9.41812800E+00  -8.96151615E+00   4.56611851E-01
    134  -9.42661870E+00  -8.97007123E+00   4.56547472E-01
    135  -9.43409870E+00  -8.97950222E+00   4.54596474E-01
    136  -9.44204121E+00  -8.98789793E+00   4.54143278E-01
    137  -9.44928567E+00  -8.99523418E+00   4.54051484E-01
    138  -9.45730727E+00  -9.00324939E+00   4.54057887E-01
    139  -9.46497132E+00  -9.01138449E+00   4.53586831E-01
    140  -9.47208223E+00  -9.01882715E+00   4.53255078E-01
    141  -9.47971729E+00  -9.02569831E+00   4.54018983E-01
    142  -9.48630131E+00  -9.03294893E+00   4.53352377E-01
    143  -9.49362949E+00  -9.04059245E+00   4.53037039E-01
    144  -9.50035529E+00  -9.04760053E+00   4.52754759E-01
    145  -9.50695198E+00  -9.05394822E+00   4.53003757E-01
    146  -9.51333415E+00  -9.06118246E+00   4.52151697E-01
    147  -9.52013326E+00  -9.06870762E+00   4.51425634E-01
    148  -9.52682642E+00  -9.07499915E+00   4.51827262E-01
    149  -9.53219169E+00  -9.08190151E+00   4.50290174E-01
    150  -9.53838229E+00  -9.08921684E+00   4.49165448E-01
    151  -9.54449957E+00  -9.09716829E+00   4.47331271E-01
    152  -9.55067017E+00  -9.10572412E+00   4.44946051E-01
    153  -9.55630385E+00  -9.11108157E+00   4.45222279E-01
    154  -9.56229744E+00  -9.11753734E+00   4.44760108E-01
    155  -9.56850474E+00  -9.12420897E+00   4.44295766E-01
    156  -9.57458697E+00  -9.13187112E+00   4.42715849E-01
    157  -9.58034584E+00  -9.13872627E+00   4.41619575E-01
    158  -9.58627060E+00  -9.14525007E+00   4.41020528E-01
    159  -9.59279636E+00  -9.15251812E+00   4.40278241E-01
    160  -9.59807992E+00  -9.15887472E+00   4.39205200E-01
    161  -9.60401062E+00  -9.16403239E+00   4.39978223E-01
    162  -9.60967196E+00  -9.17009369E+00   4.39578268E-01
    163  -9.61598663E+00  -9.17709248E+00   4.38894147E-01
    164  -9.62239656E+00  -9.18282631E+00   4.39570250E-01
    165  -9.62804855E+00  -9.18901532E+00   4.39033224E-01
    166  -9.63374984E+00  -9.19512137E+00   4.38628479E-01
    167  -9.63907747E+00  -9.20069683E+00   4.38380635E-01
    168  -9.64468273E+00  -9.20618167E+00   4.38501057E-01
    169  -9.64976466E+00  -9.21173324E+00   4.38031422E-01
    170  -9.65494153E+00  -9.21768453E+00   4.37257000E-01
    171  -9.65989493E+00  -9.22294403E+00   4.36950897E-01
    172  -9.66508145E+00  -9.22763684E+00   4.37444608E-01
    173  -9.66991750E+00  -9.23276970E+00   4.37147800E-01
    174  -9.67515359E+00  -9.23774327E+00   4.37410314E-01
    175  -9.68002627E+00  -9.24225151E+00   4.37774760E-01
    176  -9.68494154E+00  -9.24755181E+00   4.37389737E-01
    177  -9.68975433E+00  -9.25234240E+00   4.37411929E-01
    178  -9.69441479E+00  -9.25751790E+00   4.36896894E-01
    179  -9.69909942E+00  -9.26248100E+00   4.36618422E-01
    180  -9.70383525E+00  -9.26758315E+00   4.36252100E-01
    181  -9.70804168E+00  -9.27234023E+00   4.35701453E-01
    182  -9.71323852E+00  -9.27799662E+00   4.35241894E-01
    183  -9.71793663E+00  -9.28333724E+00   4.34599384E-01
    184  -9.72286003E+00  -9.28785288E+00   4.35007153E-01
    185  -9.72742673E+00  -9.29215399E+00   4.35272741E-01
    186  -9.73177952E+00  -9.29651994E+00   4.35259573E-01
    187  -9.73588983E+00  -9.30118908E+00   4.34700746E-01
    188  -9.73969157E+00  -9.30616409E+00   4.33527476E-01
    189  -9.74393730E+00  -9.31119315E+00   4.32744150E-01
    190  -9.74872916E+00  -9.31662441E+00   4.32104744E-01
    191  -9.75301347E+00  -9.32174033E+00   4.31273140E-01
    192  -9.75744032E+00  -9.32785181E+00   4.29588510E-01
    193  -9.76220823E+00  -9.33241737E+00   4.29790860E-01
    194  -9.76678876E+00  -9.33698489E+00   4.29803865E-01
    195  -9.77150782E+00  -9.34194934E+00   4.29558484E-01
    196  -9.77577379E+00  -9.34658673E+00   4.29187057E-01
    197  -9.77966821E+00  -9.35169247E+00   4.27975745E-01
    198  -9.78375296E+00  -9.35671549E+00   4.27037474E-01
    199  -9.78778450E+00  -9.36207160E+00   4.25712901E-01
# k =   0.000000   0.166667   0.000000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -1.07601232E+01  -9.93060079E+00   8.29522451E-01
# Error est. for CH(vbm) CH(cbm) diff =   8.24910203E-01   8.28009837E-01   3.09963405E-03
#    Nb          CH(vbm)          CH(cbm)             diff
      1  -7.22205467E-03  -7.86653630E-03  -6.44481622E-04
      2  -7.51065278E-02  -3.72163181E-02   3.78902097E-02
      3  -8.28048683E-02  -5.45127893E-02   2.82920791E-02
      4  -8.95495912E-02  -6.46144787E-02   2.49351125E-02
      5  -9.04441070E-02  -7.28135637E-02   1.76305433E-02
      6  -9.14416641E-02  -7.80188525E-02   1.34228116E-02
      7  -1.04776803E-01  -8.48003526E-02   1.99764499E-02
      8  -1.30179357E-01  -9.16673431E-02   3.85120143E-02
      9  -1.31565312E-01  -9.45301959E-02   3.70351160E-02
     10  -1.33942281E-01  -9.76631533E-02   3.62791278E-02
     11  -1.53536317E-01  -1.03080009E-01   5.04563080E-02
     12  -1.56282128E-01  -1.05805759E-01   5.04763696E-02
     13  -2.51101880E-01  -2.17567396E-01   3.35344839E-02
     14  -3.80401348E-01  -3.89196987E-01  -8.79563861E-03
     15  -5.93228746E-01  -5.90505543E-01   2.72320299E-03
     16  -1.02142981E+00  -7.24646093E-01   2.96783716E-01
     17  -1.58507465E+00  -8.22075596E-01   7.62999052E-01
     18  -1.80461582E+00  -1.02028740E+00   7.84328413E-01
     19  -1.88608111E+00  -1.16541370E+00   7.20667411E-01
     20  -1.98877388E+00  -1.29920739E+00   6.89566489E-01
     21  -2.09756248E+00  -1.42954080E+00   6.68021672E-01
     22  -2.20976870E+00  -1.53408111E+00   6.75687586E-01
