# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1      35     0.02142     0.82849     0.00000    2.351310746    2.054303572   -0.297007174
     1      35     0.02142     0.85323     0.00000    2.350225584    1.991370685   -0.358854898
     1      35     0.02142     0.87796     0.00000    2.292910943    1.886536714   -0.406374228
     1      35     0.02142     0.90269     0.00000    2.324629340    1.885887128   -0.438742211
     1      35     0.02142     0.92742     0.00000    2.443696238    2.256551110   -0.187145128
     1      35     0.02142     0.95215     0.00000    2.556412320    2.398090730   -0.158321590
     1      35     0.02142     0.97688     0.00000    2.650630999    2.518123806   -0.132507192
     1      35     0.02142     1.00161     0.00000    2.720791422    2.618337083   -0.102454339
     1      35     0.02142     1.02634     0.00000    2.768443602    2.666452360   -0.101991242
     1      35     0.02142     1.05108     0.00000    2.798292910    2.714756600   -0.083536311
     1      35     0.02142     1.07581     0.00000    2.815319723    2.738308831   -0.077010892
     1      35     0.02142     1.10054     0.00000    2.823867220    2.752662041   -0.071205179
     1      35     0.02142     1.12527     0.00000    2.827383964    2.756201381   -0.071182583
     1      35     0.04284     0.07419     0.00000    2.824750172    2.753551732   -0.071198441
     1      35     0.04284     0.09892     0.00000    2.818419437    2.737693027   -0.080726410
     1      35     0.04284     0.12366     0.00000    2.805635334    2.689584668   -0.116050667
     1      35     0.04284     0.14839     0.00000    2.782745245    2.637856659   -0.144888586
     1      35     0.04284     0.17312     0.00000    2.745330433    2.615611587   -0.129718847
     1      35     0.04284     0.19785     0.00000    2.688753144    2.529598690   -0.159154453
     1      35     0.04284     0.22258     0.00000    2.609813108    2.233552702   -0.376260406
     1      35     0.04284     0.24731     0.00000    2.510322623    1.954291923   -0.556030700
     1      35     0.04284     0.27204     0.00000    2.399281242    1.881554695   -0.517726547
     1      35     0.04284     0.29677     0.00000    2.292538291    1.856229355   -0.436308936
     1      35     0.04284     0.32151     0.00000    2.258890203    1.774779413   -0.484110790
     1      35     0.04284     0.34624     0.00000    2.260302339    1.641912816   -0.618389523
     1      35     0.04284     0.37097     0.00000    2.250925941    1.790529813   -0.460396127
     1      35     0.04284     0.39570     0.00000    2.250146977    1.950265488   -0.299881490
     1      35     0.04284     0.42043     0.00000    2.266871441    2.016598349   -0.250273093
     1      35     0.04284     0.44516     0.00000    2.300918310    2.041777141   -0.259141168
     1      35     0.04284     0.46989     0.00000    2.347024373    2.011211228   -0.335813146
     1      35     0.04284     0.49462     0.00000    2.397587283    1.987981726   -0.409605557
     1      35     0.04284     0.51935     0.00000    2.444852303    2.078589983   -0.366262320
     1      35     0.04284     0.54409     0.00000    2.482514458    2.172520590   -0.309993868
     1      35     0.04284     0.56882     0.00000    2.506464022    2.098521851   -0.407942171
     1      35     0.04284     0.59355     0.00000    2.514641944    2.010941330   -0.503700614
     1      35     0.04284     0.61828     0.00000    2.506463828    2.098529612   -0.407934216
     1      35     0.04284     0.64301     0.00000    2.482514084    2.172532791   -0.309981294
     1      35     0.04284     0.66774     0.00000    2.444851769    2.078597846   -0.366253923
     1      35     0.04284     0.69247     0.00000    2.397586621    1.987985146   -0.409601475
     1      35     0.04284     0.71720     0.00000    2.347023607    2.011218688   -0.335804919
     1      35     0.04284     0.74194     0.00000    2.300917456    2.041788575   -0.259128881
     1      35     0.04284     0.76667     0.00000    2.266870513    2.016605513   -0.250265000
     1      35     0.04284     0.79140     0.00000    2.250145974    1.950265492   -0.299880482
     1      35     0.04284     0.81613     0.00000    2.250924866    1.790521778   -0.460403088
     1      35     0.04284     0.84086     0.00000    2.260301244    1.641898838   -0.618402407
     1      35     0.04284     0.86559     0.00000    2.258889365    1.774769121   -0.484120245
     1      35     0.04284     0.89032     0.00000    2.292538057    1.856213258   -0.436324799
     1      35     0.04284     0.91505     0.00000    2.399281020    1.881516927   -0.517764093
     1      35     0.04284     0.93979     0.00000    2.510322424    1.954270209   -0.556052215
     1      35     0.04284     0.96452     0.00000    2.609812927    2.233544425   -0.376268503
     1      35     0.04284     0.98925     0.00000    2.688752964    2.529598175   -0.159154789
     1      35     0.04284     1.01398     0.00000    2.745330261    2.615612254   -0.129718007
     1      35     0.04284     1.03871     0.00000    2.782745086    2.637856877   -0.144888209
     1      35     0.04284     1.06344     0.00000    2.805635192    2.689585561   -0.116049631
     1      35     0.04284     1.08817     0.00000    2.818419316    2.737694320   -0.080724996
     1      35     0.06425     0.11129     0.00000    2.808111605    2.666312312   -0.141799293
     1      35     0.06425     0.13602     0.00000    2.790277767    2.634917910   -0.155359858
     1      35     0.06425     0.16075     0.00000    2.761554898    2.604347591   -0.157207307
     1      35     0.06425     0.18548     0.00000    2.718125645    2.517663235   -0.200462410
     1      35     0.06425     0.21022     0.00000    2.656607977    2.123820153   -0.532787824
     1      35     0.06425     0.23495     0.00000    2.576034278    1.941525306   -0.634508972
     1      35     0.06425     0.25968     0.00000    2.480290278    1.832562265   -0.647728014
     1      35     0.06425     0.28441     0.00000    2.377590892    1.748660894   -0.628929998
     1      35     0.06425     0.30914     0.00000    2.278078271    1.635938792   -0.642139479
     1      35     0.06425     0.33387     0.00000    2.198541364    1.525394695   -0.673146669
     1      35     0.06425     0.35860     0.00000    2.156073491    1.476895385   -0.679178105
     1      35     0.06425     0.38333     0.00000    2.137277750    1.551096042   -0.586181708
     1      35     0.06425     0.40806     0.00000    2.137644496    1.872412423   -0.265232073
     1      35     0.06425     0.43280     0.00000    2.156769975    1.942185996   -0.214583979
     1      35     0.06425     0.45753     0.00000    2.190793192    1.965260111   -0.225533081
     1      35     0.06425     0.48226     0.00000    2.233130970    1.992366619   -0.240764351
     1      35     0.06425     0.50699     0.00000    2.276454406    2.024710847   -0.251743559
     1      35     0.06425     0.53172     0.00000    2.314350748    2.079179945   -0.235170803
     1      35     0.06425     0.55645     0.00000    2.342115141    2.102923253   -0.239191888
     1      35     0.06425     0.58118     0.00000    2.356746991    2.098008240   -0.258738751
     1      35     0.06425     0.60591     0.00000    2.356746907    2.098018818   -0.258728089
     1      35     0.06425     0.63065     0.00000    2.342114881    2.102937638   -0.239177243
     1      35     0.06425     0.65538     0.00000    2.314350306    2.079194221   -0.235156084
     1      35     0.06425     0.68011     0.00000    2.276453784    2.024724506   -0.251729277
     1      35     0.06425     0.70484     0.00000    2.233130183    1.992380768   -0.240749415
     1      35     0.06425     0.72957     0.00000    2.190792265    1.965274824   -0.225517441
     1      35     0.06425     0.75430     0.00000    2.156768937    1.942200550   -0.214568387
     1      35     0.06425     0.77903     0.00000    2.137643379    1.872422784   -0.265220596
     1      35     0.06425     0.80376     0.00000    2.137276602    1.551083865   -0.586192737
     1      35     0.06425     0.82849     0.00000    2.156072409    1.476878734   -0.679193676
     1      35     0.06425     0.85323     0.00000    2.198540555    1.525377629   -0.673162927
     1      35     0.06425     0.87796     0.00000    2.278077638    1.635920359   -0.642157279
     1      35     0.06425     0.90269     0.00000    2.377590360    1.748641647   -0.628948712
     1      35     0.06425     0.92742     0.00000    2.480289862    1.832538870   -0.647750993
     1      35     0.06425     0.95215     0.00000    2.576033955    1.941507836   -0.634526120
     1      35     0.06425     0.97688     0.00000    2.656607704    2.123806335   -0.532801369
     1      35     0.06425     1.00161     0.00000    2.718125393    2.517661455   -0.200463938
     1      35     0.06425     1.02634     0.00000    2.761554659    2.604347452   -0.157207206
     1      35     0.06425     1.05108     0.00000    2.790277544    2.634917819   -0.155359725
     1      35     0.08567     0.14839     0.00000    2.767411478    2.606066482   -0.161344996
     1      35     0.08567     0.17312     0.00000    2.735028423    2.546120875   -0.188907548
     1      35     0.08567     0.19785     0.00000    2.690779828    2.295859831   -0.394919998
     1      35     0.08567     0.22258     0.00000    2.632309085    2.002680246   -0.629628839
     1      35     0.08567     0.24731     0.00000    2.558350775    1.882049977   -0.676300798
     1      35     0.08567     0.27204     0.00000    2.470234603    1.805885982   -0.664348620
     1      35     0.08567     0.29677     0.00000    2.372734922    1.705810047   -0.666924875
     1      35     0.08567     0.32151     0.00000    2.272648111    1.575081790   -0.697566321
     1      35     0.08567     0.34624     0.00000    2.178452224    1.473452670   -0.704999554
     1      35     0.08567     0.37097     0.00000    2.103482991    1.431593680   -0.671889311
     1      35     0.08567     0.39570     0.00000    2.064196072    1.610719763   -0.453476309
     1      35     0.08567     0.42043     0.00000    2.063287981    1.826971487   -0.236316494
     1      35     0.08567     0.44516     0.00000    2.090488308    1.886552722   -0.203935586
     1      35     0.08567     0.46989     0.00000    2.134817600    1.930245226   -0.204572374
     1      35     0.08567     0.49462     0.00000    2.187086044    1.979440926   -0.207645117
     1      35     0.08567     0.51935     0.00000    2.239180019    2.029385952   -0.209794067
     1      35     0.08567     0.54409     0.00000    2.283541646    2.073649529   -0.209892117
     1      35     0.08567     0.56882     0.00000    2.313440280    2.103257471   -0.210182810
     1      35     0.08567     0.59355     0.00000    2.324007010    2.113366130   -0.210640880
     1      35     0.08567     0.61828     0.00000    2.313440391    2.103271173   -0.210169218
     1      35     0.08567     0.64301     0.00000    2.283541851    2.073665355   -0.209876496
     1      35     0.08567     0.66774     0.00000    2.239180289    2.029401917   -0.209778372
     1      35     0.08567     0.69247     0.00000    2.187086336    1.979457401   -0.207628935
     1      35     0.08567     0.71720     0.00000    2.134817873    1.930262170   -0.204555704
     1      35     0.08567     0.74194     0.00000    2.090488510    1.886569667   -0.203918843
     1      35     0.08567     0.76667     0.00000    2.063288017    1.826986081   -0.236301936
     1      35     0.08567     0.79140     0.00000    2.064195808    1.610719467   -0.453476341
     1      35     0.08567     0.81613     0.00000    2.103482310    1.431578390   -0.671903920
     1      35     0.08567     0.84086     0.00000    2.178451268    1.473434912   -0.705016356
     1      35     0.08567     0.86559     0.00000    2.272647121    1.575064032   -0.697583089
     1      35     0.08567     0.89032     0.00000    2.372734034    1.705792122   -0.666941912
     1      35     0.08567     0.91505     0.00000    2.470233895    1.805867197   -0.664366698
     1      35     0.08567     0.93979     0.00000    2.558350251    1.882030831   -0.676319420
     1      35     0.08567     0.96452     0.00000    2.632308689    2.002662890   -0.629645798
     1      35     0.08567     0.98925     0.00000    2.690779500    2.295850983   -0.394928516
     1      35     0.08567     1.01398     0.00000    2.735028115    2.546119536   -0.188908578
     1      35     0.10709     0.18548     0.00000    2.703550709    2.444867621   -0.258683088
     1      35     0.10709     0.21022     0.00000    2.664830906    2.067644209   -0.597186697
